Time,Healthy,Undetectable,Detectable
0,45,5,0
1,45,5,0
2,45,5,0
3,45,5,0
4,45,5,0
5,45,5,0
6,45,5,0
7,45,5,0
8,45,5,0
9,45,5,0
10,45,5,0
11,45,5,0
12,45,5,0
13,45,5,0
14,45,5,0
15,45,5,0
16,45,5,0
17,45,5,0
18,45,5,0
19,45,5,0
20,45,5,0
21,45,5,0
22,45,5,0
23,45,5,0
24,45,5,0
25,45,5,0
26,45,5,0
27,45,5,0
28,45,5,0
29,45,5,0
30,45,5,0
31,45,5,0
32,45,5,0
33,45,5,0
34,45,5,0
35,45,5,0
36,45,5,0
37,45,5,0
38,45,5,0
39,45,5,0
40,45,5,0
41,45,5,0
42,45,5,0
43,45,5,0
44,45,5,0
45,45,5,0
46,45,5,0
47,45,5,0
48,45,5,0
49,45,5,0
50,45,5,0
51,45,5,0
52,45,5,0
53,45,5,0
54,45,5,0
55,45,5,0
56,45,5,0
57,45,5,0
58,45,5,0
59,45,5,0
60,45,5,0
61,45,5,0
62,45,5,0
63,45,5,0
64,45,5,0
65,45,5,0
66,45,5,0
67,45,5,0
68,45,5,0
69,45,5,0
70,45,5,0
71,45,5,0
72,45,5,0
73,45,5,0
74,45,5,0
75,45,5,0
76,45,5,0
77,45,5,0
78,45,5,0
79,45,5,0
80,45,5,0
81,45,5,0
82,45,5,0
83,45,5,0
84,45,5,0
85,45,5,0
86,45,5,0
87,45,5,0
88,45,5,0
89,45,5,0
90,45,4,1
91,45,4,1
92,45,4,1
93,45,4,1
94,45,4,1
95,45,4,1
96,45,4,1
97,45,4,1
98,45,4,1
99,45,3,2
100,45,3,2
101,45,3,2
102,45,3,2
103,45,3,2
104,45,3,2
105,45,3,2
106,45,3,2
107,45,3,2
108,45,3,2
109,45,3,2
110,45,3,2
111,45,3,2
112,45,3,2
113,45,3,2
114,45,3,2
115,45,3,2
116,45,3,2
117,45,3,2
118,45,3,2
119,45,3,2
120,45,3,2
121,45,3,2
122,45,3,2
123,45,3,2
124,45,3,2
125,45,3,2
126,45,3,2
127,45,3,2
128,45,3,2
129,45,3,2
130,45,3,2
131,45,3,2
132,45,3,2
133,45,3,2
134,45,3,2
135,45,3,2
136,45,3,2
137,45,3,2
138,45,3,2
139,45,3,2
140,45,3,2
141,45,3,2
142,45,3,2
143,45,3,2
144,45,3,2
145,45,3,2
146,45,3,2
147,45,3,2
148,45,3,2
149,45,3,2
150,45,3,2
151,45,3,2
152,45,3,2
153,45,3,2
154,45,3,2
155,45,3,2
156,45,3,2
157,45,3,2
158,45,3,2
159,45,3,2
160,45,3,2
161,45,3,2
162,45,3,2
163,45,3,2
164,45,3,2
165,45,3,2
166,45,3,2
167,45,3,2
168,45,3,2
169,45,3,2
170,45,3,2
171,45,3,2
172,45,3,2
173,45,3,2
174,45,3,2
175,45,3,2
176,45,3,2
177,45,3,2
178,45,3,2
179,45,3,2
180,45,3,2
181,45,3,2
182,45,3,2
183,45,3,2
184,45,3,2
185,45,3,2
186,45,3,2
187,45,3,2
188,45,3,2
189,45,3,2
190,45,3,2
191,45,3,2
192,45,3,2
193,45,3,2
194,45,3,2
195,45,3,2
196,45,3,2
197,45,3,2
198,45,3,2
199,45,3,2
200,45,3,2
201,45,3,2
202,45,3,2
203,45,3,2
204,45,3,2
205,45,3,2
206,45,3,2
207,45,3,2
208,45,3,2
209,45,3,2
210,45,3,2
211,45,3,2
212,45,3,2
213,45,3,2
214,45,3,2
215,45,3,2
216,45,3,2
217,45,3,2
218,45,3,2
219,45,3,2
220,45,3,2
221,45,3,2
222,45,3,2
223,45,3,2
224,45,2,3
225,45,2,3
226,45,2,3
227,45,2,3
228,45,2,3
229,45,2,3
230,45,2,3
231,45,2,3
232,45,2,3
233,45,2,3
234,45,2,3
235,45,2,3
236,45,2,3
237,45,2,3
238,45,2,3
239,45,2,3
240,45,2,3
241,45,2,3
242,45,2,3
243,45,2,3
244,45,2,3
245,45,2,3
246,45,2,3
247,45,2,3
248,45,2,3
249,45,2,3
250,45,2,3
251,45,2,3
252,45,2,3
253,45,2,3
254,45,2,3
255,45,2,3
256,45,2,3
257,45,2,3
258,45,2,3
259,45,2,3
260,45,2,3
261,45,2,3
262,45,2,3
263,45,2,3
264,45,2,3
265,45,2,3
266,45,2,3
267,45,2,3
268,45,2,3
269,45,2,3
270,45,2,3
271,45,2,3
272,45,2,3
273,45,2,3
274,45,2,3
275,45,2,3
276,45,2,3
277,45,2,3
278,45,2,3
279,45,2,3
280,45,2,3
281,45,2,3
282,45,2,3
283,45,2,3
284,45,2,3
285,45,2,3
286,45,2,3
287,45,2,3
288,45,2,3
289,45,2,3
290,45,2,3
291,45,2,3
292,45,2,3
293,45,2,3
294,45,2,3
295,45,2,3
296,45,2,3
297,45,2,3
298,45,2,3
299,45,2,3
300,45,2,3
301,45,2,3
302,45,2,3
303,45,2,3
304,45,2,3
305,45,2,3
306,45,2,3
307,45,2,3
308,45,2,3
309,45,2,3
310,45,2,3
311,45,2,3
312,45,2,3
313,45,2,3
314,45,2,3
315,45,2,3
316,45,2,3
317,45,2,3
318,45,2,3
319,45,2,3
320,45,2,3
321,45,2,3
322,45,2,3
323,45,2,3
324,45,2,3
325,45,2,3
326,45,2,3
327,45,2,3
328,45,2,3
329,45,2,3
330,45,2,3
331,45,2,3
332,45,2,3
333,45,2,3
334,45,2,3
335,45,2,3
336,45,2,3
337,45,2,3
338,45,2,3
339,45,2,3
340,45,2,3
341,45,2,3
342,45,2,3
343,45,2,3
344,45,2,3
345,45,2,3
346,45,2,3
347,45,2,3
348,45,2,3
349,45,2,3
350,45,2,3
351,45,2,3
352,45,2,3
353,45,2,3
354,45,2,3
355,45,2,3
356,45,2,3
357,45,2,3
358,45,2,3
359,45,2,3
360,45,2,3
361,45,2,3
362,45,2,3
363,45,2,3
364,45,2,3
365,45,2,3
366,45,2,3
367,45,2,3
368,45,2,3
369,45,2,3
370,45,2,3
371,45,2,3
372,45,2,3
373,45,2,3
374,45,2,3
375,45,2,3
376,45,2,3
377,45,2,3
378,45,2,3
379,45,1,4
380,45,1,4
381,45,1,4
382,45,1,4
383,45,1,4
384,45,1,4
385,45,1,4
386,45,1,4
387,45,1,4
388,45,1,4
389,45,1,4
390,45,1,4
391,45,1,4
