time,undetectable crops mean
0.0,5.0
1.0,5.0
2.0,5.0
3.0,5.0
4.0,5.0
5.0,5.0
6.0,5.0
7.0,5.0
8.0,5.0
9.0,5.0
10.0,5.0
11.0,5.0
12.0,5.0
13.0,5.0
14.0,5.0
15.0,5.0
16.0,5.0
17.0,5.0
18.0,5.0
19.0,5.0
20.0,5.0
21.0,5.0
22.0,5.0
23.0,5.0
24.0,5.0
25.0,5.0
26.0,5.0
27.0,5.0
28.0,5.0
29.0,5.0
30.0,5.0
31.0,5.0
32.0,5.0
33.0,5.0
34.0,5.0
35.0,5.0
36.0,5.0
37.0,5.0
38.0,5.0
39.0,5.0
40.0,5.0
41.0,5.0
42.0,5.0
43.0,5.0
44.0,5.0
45.0,5.0
46.0,5.0
47.0,5.0
48.0,5.0
49.0,5.0
50.0,5.0
51.0,5.0
52.0,5.0
53.0,5.0
54.0,5.0
55.0,5.0
56.0,5.0
57.0,5.0
58.0,5.0
59.0,5.0
60.0,5.0
61.0,5.0
62.0,5.0
63.0,5.0
64.0,5.0
65.0,5.0
66.0,5.0
67.0,5.0
68.0,5.0
69.0,5.0
70.0,5.0
71.0,5.0
72.0,5.0
73.0,5.0
74.0,5.0
75.0,5.0
76.0,5.0
77.0,5.0
78.0,5.0
79.0,5.0
80.0,5.0
81.0,5.0
82.0,5.0
83.0,5.0
84.0,5.0
85.0,5.0
86.0,5.0
87.0,5.0
88.0,5.0
89.0,5.0
90.0,4.5
91.0,4.5
92.0,4.5
93.0,4.5
94.0,4.5
95.0,4.5
96.0,4.5
97.0,4.5
98.0,4.5
99.0,4.0
100.0,4.0
101.0,4.0
102.0,4.0
103.0,4.0
104.0,4.0
105.0,4.0
106.0,4.0
107.0,4.0
108.0,4.0
109.0,4.0
110.0,4.0
111.0,4.0
112.0,4.0
113.0,4.0
114.0,4.0
115.0,4.0
116.0,4.0
117.0,4.0
118.0,4.0
119.0,4.0
120.0,4.0
121.0,4.0
122.0,4.0
123.0,4.0
124.0,4.0
125.0,4.0
126.0,4.0
127.0,4.0
128.0,4.0
129.0,4.0
130.0,4.0
131.0,4.0
132.0,4.0
133.0,4.0
134.0,4.0
135.0,4.0
136.0,4.0
137.0,4.0
138.0,4.0
139.0,4.0
140.0,4.0
141.0,4.0
142.0,4.0
143.0,4.0
144.0,4.0
145.0,3.5
146.0,3.5
147.0,3.5
148.0,3.5
149.0,3.5
150.0,3.5
151.0,3.5
152.0,3.5
153.0,3.5
154.0,3.5
155.0,3.5
156.0,3.5
157.0,3.5
158.0,3.5
159.0,3.5
160.0,3.5
161.0,3.5
162.0,3.5
163.0,3.5
164.0,3.5
165.0,3.5
166.0,3.5
167.0,3.5
168.0,3.5
169.0,3.5
170.0,3.5
171.0,3.5
172.0,3.5
173.0,3.5
174.0,3.5
175.0,3.5
176.0,3.5
177.0,3.5
178.0,3.5
179.0,3.5
180.0,3.5
181.0,3.5
182.0,3.5
183.0,3.5
184.0,3.5
185.0,3.5
186.0,3.5
187.0,3.5
188.0,3.5
189.0,3.5
190.0,3.5
191.0,3.5
192.0,3.5
193.0,3.5
194.0,3.5
195.0,3.5
196.0,3.5
197.0,3.5
198.0,3.5
199.0,3.5
200.0,3.5
201.0,3.5
202.0,3.5
203.0,3.5
204.0,3.5
205.0,3.5
206.0,3.5
207.0,3.5
208.0,3.5
209.0,3.5
210.0,3.5
211.0,3.5
212.0,3.5
213.0,3.5
214.0,3.5
215.0,3.5
216.0,3.5
217.0,3.5
218.0,3.5
219.0,3.5
220.0,3.5
221.0,3.5
222.0,3.5
223.0,3.5
224.0,3.0
225.0,3.0
226.0,3.0
227.0,3.0
228.0,3.0
229.0,3.0
230.0,3.0
231.0,3.0
232.0,2.5
233.0,2.5
234.0,2.5
235.0,2.5
236.0,2.5
237.0,2.5
238.0,2.5
239.0,2.5
240.0,2.5
241.0,2.5
242.0,2.5
243.0,2.5
244.0,2.5
245.0,2.5
246.0,2.5
247.0,2.5
248.0,2.5
249.0,2.5
250.0,2.5
251.0,2.5
252.0,2.5
253.0,2.5
254.0,2.5
255.0,2.5
256.0,2.5
257.0,2.5
258.0,2.5
259.0,2.5
260.0,2.5
261.0,2.5
262.0,2.5
263.0,2.5
264.0,2.5
265.0,2.5
266.0,2.5
267.0,2.5
268.0,2.5
269.0,2.5
270.0,2.5
271.0,2.5
272.0,2.5
273.0,2.5
274.0,2.5
275.0,2.5
276.0,2.5
277.0,2.5
278.0,2.5
279.0,2.5
280.0,2.5
281.0,2.5
282.0,2.5
283.0,2.5
284.0,2.5
285.0,2.5
286.0,2.5
287.0,2.5
288.0,2.5
289.0,2.5
290.0,2.5
291.0,2.5
292.0,2.5
293.0,2.5
294.0,2.5
295.0,2.5
296.0,2.5
297.0,2.5
298.0,2.5
299.0,2.5
300.0,2.5
301.0,2.5
302.0,2.5
303.0,2.5
304.0,2.5
305.0,2.5
306.0,2.5
307.0,2.5
308.0,2.5
309.0,2.5
310.0,2.5
311.0,2.5
312.0,2.5
313.0,2.5
314.0,2.5
315.0,2.5
316.0,2.5
317.0,2.5
318.0,2.5
319.0,2.5
320.0,2.5
321.0,2.5
322.0,2.5
323.0,2.5
324.0,2.5
325.0,2.5
326.0,2.5
327.0,2.5
328.0,2.5
329.0,2.5
330.0,2.5
331.0,2.5
332.0,2.5
333.0,2.5
334.0,2.5
335.0,2.5
336.0,2.5
337.0,2.5
338.0,2.5
339.0,2.5
340.0,2.5
341.0,2.5
342.0,2.5
343.0,2.5
344.0,2.5
345.0,2.5
346.0,2.5
347.0,2.5
348.0,2.5
349.0,2.5
350.0,2.5
351.0,2.5
352.0,2.5
353.0,2.5
354.0,2.5
355.0,2.5
356.0,2.5
357.0,2.5
358.0,2.5
359.0,2.5
360.0,2.5
361.0,2.5
362.0,2.5
363.0,2.5
364.0,2.5
365.0,2.5
366.0,2.5
367.0,2.5
368.0,2.5
369.0,2.5
370.0,2.5
371.0,2.5
372.0,2.5
373.0,2.5
374.0,2.5
375.0,2.5
376.0,2.5
377.0,2.5
378.0,2.5
379.0,2.0
380.0,2.0
381.0,2.0
382.0,2.0
383.0,2.0
384.0,2.0
385.0,2.0
386.0,2.0
387.0,2.0
388.0,2.0
389.0,2.0
390.0,2.0
391.0,2.0
392.0,2.0
393.0,2.0
394.0,2.0
395.0,2.0
396.0,2.0
397.0,2.0
398.0,2.0
399.0,2.0
400.0,2.0
401.0,2.0
402.0,2.0
403.0,2.0
404.0,2.0
405.0,2.0
406.0,2.0
407.0,2.0
408.0,2.0
409.0,2.0
410.0,2.0
411.0,2.0
412.0,2.0
413.0,2.0
414.0,2.0
415.0,2.0
416.0,2.0
417.0,2.0
418.0,2.0
419.0,2.0
420.0,2.0
421.0,2.0
422.0,2.0
423.0,2.0
424.0,2.0
425.0,2.0
426.0,2.0
427.0,2.0
428.0,2.0
429.0,2.0
430.0,2.0
431.0,2.0
432.0,2.0
433.0,2.0
434.0,2.0
435.0,2.0
436.0,2.0
437.0,2.0
438.0,2.0
439.0,2.0
440.0,2.0
441.0,2.0
442.0,2.0
443.0,2.0
444.0,2.0
445.0,2.0
446.0,2.0
447.0,2.0
448.0,2.0
449.0,2.0
450.0,2.0
451.0,2.0
452.0,2.0
453.0,2.0
454.0,2.0
455.0,2.0
456.0,2.0
457.0,2.0
458.0,2.0
459.0,2.0
460.0,2.0
461.0,2.0
462.0,2.0
463.0,2.0
464.0,2.0
465.0,2.0
466.0,2.0
467.0,2.0
468.0,2.0
469.0,2.0
470.0,2.0
471.0,2.0
472.0,2.0
473.0,2.0
474.0,2.0
475.0,2.0
476.0,2.0
477.0,2.0
478.0,2.0
479.0,2.0
480.0,2.0
481.0,2.0
482.0,2.0
483.0,2.0
484.0,2.0
485.0,2.0
486.0,2.0
487.0,2.0
488.0,2.0
489.0,2.0
490.0,2.0
491.0,2.0
492.0,2.0
493.0,2.0
494.0,2.0
495.0,2.0
496.0,2.0
497.0,2.0
498.0,2.0
499.0,2.0
500.0,2.0
501.0,2.0
502.0,2.0
503.0,2.0
504.0,2.0
505.0,2.0
506.0,2.0
507.0,2.0
508.0,2.5
509.0,2.5
510.0,2.0
511.0,2.0
512.0,2.0
513.0,2.0
514.0,2.0
515.0,2.0
516.0,2.0
517.0,2.0
518.0,2.0
519.0,2.0
520.0,2.0
521.0,2.0
522.0,2.0
523.0,2.0
524.0,2.0
525.0,2.0
526.0,2.0
527.0,2.0
528.0,2.0
529.0,2.0
530.0,2.0
531.0,2.0
532.0,2.0
533.0,2.0
534.0,2.0
535.0,2.0
536.0,2.0
537.0,2.0
538.0,2.0
539.0,2.0
540.0,2.0
541.0,2.0
542.0,2.0
543.0,2.0
544.0,2.0
545.0,2.0
546.0,2.0
547.0,2.5
548.0,2.5
549.0,2.5
550.0,2.5
551.0,2.5
552.0,2.5
553.0,2.5
554.0,2.5
555.0,2.5
556.0,2.5
557.0,2.5
558.0,2.5
559.0,2.5
560.0,2.5
561.0,2.5
562.0,3.0
563.0,3.0
564.0,3.0
565.0,3.0
566.0,3.0
567.0,3.0
568.0,3.0
569.0,3.0
570.0,3.0
571.0,3.0
572.0,3.0
573.0,3.0
574.0,3.0
575.0,3.0
576.0,3.0
577.0,3.5
578.0,3.5
579.0,3.5
580.0,3.5
581.0,3.5
582.0,3.5
583.0,3.5
584.0,3.5
585.0,3.5
586.0,3.5
587.0,3.5
588.0,3.5
589.0,3.5
590.0,3.5
591.0,3.5
592.0,3.5
593.0,3.5
594.0,3.5
595.0,3.5
596.0,3.5
597.0,3.5
598.0,3.5
599.0,3.5
600.0,3.5
601.0,3.5
602.0,3.5
603.0,3.5
604.0,3.5
605.0,3.5
606.0,4.0
607.0,4.5
608.0,4.5
609.0,4.5
610.0,4.5
611.0,4.5
612.0,4.5
613.0,4.5
614.0,4.5
615.0,4.5
616.0,4.5
617.0,4.5
618.0,4.5
619.0,4.5
620.0,4.5
621.0,4.5
622.0,4.5
623.0,4.5
624.0,4.5
625.0,4.5
626.0,5.0
627.0,5.0
628.0,5.0
629.0,5.0
630.0,5.0
631.0,5.0
632.0,5.0
633.0,5.0
634.0,5.0
635.0,5.0
636.0,5.0
637.0,5.0
638.0,5.0
639.0,5.0
640.0,5.5
641.0,5.5
642.0,5.5
643.0,5.5
644.0,5.5
645.0,5.5
646.0,5.5
647.0,5.5
648.0,5.5
649.0,5.0
650.0,5.0
651.0,5.0
652.0,5.0
653.0,5.0
654.0,5.0
655.0,5.0
656.0,5.5
657.0,5.5
658.0,5.5
659.0,5.5
660.0,5.5
661.0,5.5
662.0,5.5
663.0,5.5
664.0,5.5
665.0,5.5
666.0,5.5
667.0,5.5
668.0,5.5
669.0,5.5
670.0,5.5
671.0,5.5
672.0,5.5
673.0,5.5
674.0,5.5
675.0,5.5
676.0,5.5
677.0,5.5
678.0,5.5
679.0,5.5
680.0,5.5
681.0,5.5
682.0,5.5
683.0,5.5
684.0,5.5
685.0,5.5
686.0,5.5
687.0,5.5
688.0,5.5
689.0,5.5
690.0,5.5
691.0,5.5
692.0,5.5
693.0,5.5
694.0,5.5
695.0,5.5
696.0,5.5
697.0,5.5
698.0,5.5
699.0,5.5
700.0,5.5
701.0,5.5
702.0,5.5
703.0,5.5
704.0,5.5
705.0,5.5
706.0,5.5
707.0,5.5
708.0,5.5
709.0,5.5
710.0,5.5
711.0,5.5
712.0,5.5
713.0,5.5
714.0,5.5
715.0,5.5
716.0,5.5
717.0,5.5
718.0,5.5
719.0,5.5
720.0,5.5
721.0,5.5
722.0,5.5
723.0,5.5
724.0,5.5
725.0,5.5
726.0,6.0
727.0,6.5
728.0,7.0
729.0,7.0
730.0,7.0
731.0,7.0
732.0,7.0
733.0,7.0
734.0,7.0
735.0,7.0
736.0,7.0
737.0,7.0
738.0,7.0
739.0,7.0
740.0,7.0
741.0,7.5
742.0,7.5
743.0,7.5
744.0,7.5
745.0,7.5
746.0,7.5
747.0,7.5
748.0,7.5
749.0,7.5
750.0,7.5
751.0,7.5
752.0,7.5
753.0,7.5
754.0,7.5
755.0,7.5
756.0,7.5
757.0,7.5
758.0,7.5
759.0,7.0
760.0,7.0
761.0,7.5
762.0,7.5
763.0,7.5
764.0,7.5
765.0,7.5
766.0,7.5
767.0,7.0
768.0,7.0
769.0,7.0
770.0,7.5
771.0,7.5
772.0,7.5
773.0,8.0
774.0,8.0
775.0,8.0
776.0,8.0
777.0,8.0
778.0,8.0
779.0,8.0
780.0,8.0
781.0,8.5
782.0,8.5
783.0,8.5
784.0,8.5
785.0,8.5
786.0,8.5
787.0,8.5
788.0,8.5
789.0,9.0
790.0,9.0
791.0,9.0
792.0,9.0
793.0,9.0
794.0,9.0
795.0,9.0
796.0,9.0
797.0,9.0
798.0,9.0
799.0,9.0
800.0,9.0
801.0,9.0
802.0,9.0
803.0,9.0
804.0,8.5
805.0,8.5
806.0,8.5
807.0,8.5
808.0,9.0
809.0,9.0
810.0,9.0
811.0,9.0
812.0,9.0
813.0,9.0
814.0,9.0
815.0,9.0
816.0,9.0
817.0,9.0
818.0,9.0
819.0,8.5
820.0,8.5
821.0,8.5
822.0,8.5
823.0,8.5
824.0,8.5
825.0,8.5
826.0,8.5
827.0,8.5
828.0,8.5
829.0,8.5
830.0,8.5
831.0,8.5
832.0,8.5
833.0,8.5
834.0,8.5
835.0,8.5
836.0,8.5
837.0,8.5
838.0,9.0
839.0,9.0
840.0,9.0
841.0,9.0
842.0,9.0
843.0,9.0
844.0,9.0
845.0,9.0
846.0,9.0
847.0,9.0
848.0,9.0
849.0,9.0
850.0,9.0
851.0,9.0
852.0,9.0
853.0,9.0
854.0,9.0
855.0,9.0
856.0,9.0
857.0,9.0
858.0,9.0
859.0,9.0
860.0,9.0
861.0,9.0
862.0,9.0
863.0,9.0
864.0,9.0
865.0,9.5
866.0,9.5
867.0,9.5
868.0,9.5
869.0,9.5
870.0,9.5
871.0,9.5
