Time,Healthy,Undetectable,Detectable
0,95,5,0
1,95,5,0
2,95,5,0
3,95,5,0
4,95,5,0
5,95,5,0
6,95,5,0
7,95,5,0
8,95,4,1
9,95,4,1
10,95,4,1
11,95,4,1
12,95,4,1
13,95,4,1
14,95,4,1
15,95,4,1
16,95,4,1
17,95,4,1
18,95,4,1
19,95,4,1
20,95,4,1
21,95,4,1
22,95,4,1
23,95,4,1
24,95,4,1
25,95,4,1
26,95,4,1
27,95,4,1
28,95,4,1
29,95,4,1
30,95,4,1
31,95,4,1
32,95,4,1
33,95,4,1
34,95,4,1
35,95,4,1
36,95,4,1
37,95,4,1
38,95,4,1
39,95,4,1
40,95,4,1
41,95,4,1
42,95,4,1
43,95,4,1
44,95,4,1
45,95,4,1
46,95,4,1
47,95,4,1
48,95,3,2
49,95,3,2
50,95,3,2
51,95,3,2
52,95,3,2
53,95,3,2
54,95,3,2
55,95,3,2
56,95,3,2
57,95,3,2
58,95,3,2
59,95,3,2
60,95,3,2
61,95,3,2
62,95,3,2
63,95,3,2
64,95,3,2
65,95,3,2
66,95,3,2
67,95,3,2
68,95,3,2
69,95,3,2
70,95,3,2
71,95,3,2
72,95,3,2
73,95,3,2
74,95,2,3
75,95,2,3
76,95,2,3
77,95,2,3
78,95,2,3
79,95,2,3
80,95,2,3
81,95,2,3
82,95,2,3
83,95,2,3
84,95,2,3
85,95,2,3
86,95,2,3
87,95,2,3
88,95,2,3
89,95,2,3
90,95,2,3
91,95,2,3
92,95,2,3
93,95,2,3
94,95,2,3
95,95,2,3
96,95,2,3
97,95,2,3
98,95,2,3
99,95,2,3
100,95,2,3
101,95,2,3
102,95,2,3
103,95,2,3
104,95,2,3
105,95,2,3
106,95,2,3
107,95,2,3
108,95,2,3
109,95,2,3
110,95,2,3
111,95,2,3
112,95,2,3
113,95,1,4
114,95,1,4
115,95,1,4
116,95,1,4
117,95,1,4
118,95,1,4
119,95,1,4
120,95,1,4
121,95,1,4
122,95,1,4
123,95,1,4
124,95,1,4
125,95,1,4
126,95,1,4
127,95,1,4
128,95,1,4
129,95,1,4
130,95,1,4
131,95,1,4
132,95,1,4
133,95,1,4
134,95,1,4
135,95,1,4
136,95,1,4
137,95,1,4
138,95,1,4
139,95,1,4
140,95,1,4
141,95,1,4
142,95,1,4
143,95,1,4
144,95,1,4
145,95,1,4
146,95,1,4
147,95,1,4
148,95,1,4
149,95,1,4
150,95,1,4
151,95,1,4
152,95,1,4
153,95,1,4
154,95,1,4
155,95,1,4
156,95,1,4
157,95,1,4
158,95,1,4
159,95,1,4
160,95,1,4
161,95,1,4
162,95,1,4
163,95,1,4
164,95,1,4
165,95,1,4
166,95,1,4
167,95,1,4
168,95,1,4
169,95,1,4
170,95,1,4
171,95,1,4
172,95,1,4
173,95,1,4
174,95,1,4
175,95,1,4
176,95,1,4
177,95,1,4
178,95,1,4
179,95,1,4
180,95,1,4
181,95,1,4
182,95,1,4
183,95,1,4
184,95,1,4
185,95,1,4
186,95,1,4
187,95,1,4
188,95,1,4
189,95,1,4
190,95,1,4
191,95,1,4
192,95,1,4
193,95,1,4
194,95,1,4
195,95,1,4
196,95,1,4
197,95,1,4
198,95,1,4
199,95,1,4
200,95,1,4
201,95,1,4
202,95,1,4
203,95,1,4
204,95,1,4
205,95,1,4
206,95,1,4
207,95,1,4
208,95,1,4
209,95,1,4
210,95,1,4
211,95,1,4
212,95,1,4
213,95,1,4
214,95,1,4
215,95,1,4
216,95,1,4
217,95,1,4
218,95,1,4
219,95,1,4
220,95,1,4
221,95,1,4
222,95,1,4
223,95,1,4
224,95,1,4
225,95,1,4
226,95,1,4
227,95,1,4
228,95,1,4
229,95,1,4
230,95,1,4
231,95,1,4
232,95,1,4
233,95,1,4
234,95,1,4
235,95,1,4
236,95,1,4
237,95,1,4
238,95,1,4
239,95,1,4
240,95,1,4
241,95,1,4
242,95,1,4
243,95,1,4
244,95,1,4
