time,healthy sentinels mean
0.0,100.0
1.0,100.0
2.0,100.0
3.0,100.0
4.0,100.0
5.0,100.0
6.0,100.0
7.0,100.0
8.0,100.0
9.0,100.0
10.0,100.0
11.0,100.0
12.0,100.0
13.0,100.0
14.0,100.0
15.0,100.0
16.0,100.0
17.0,100.0
18.0,100.0
19.0,100.0
20.0,100.0
21.0,100.0
22.0,100.0
23.0,100.0
24.0,100.0
25.0,100.0
26.0,100.0
27.0,100.0
28.0,100.0
29.0,100.0
30.0,100.0
31.0,100.0
32.0,100.0
33.0,100.0
34.0,100.0
35.0,100.0
36.0,100.0
37.0,100.0
38.0,100.0
39.0,100.0
40.0,100.0
41.0,100.0
42.0,100.0
43.0,100.0
44.0,100.0
45.0,100.0
46.0,100.0
47.0,100.0
48.0,100.0
49.0,100.0
50.0,100.0
51.0,100.0
52.0,100.0
53.0,100.0
54.0,100.0
55.0,100.0
56.0,100.0
57.0,100.0
58.0,100.0
59.0,100.0
60.0,100.0
61.0,100.0
62.0,100.0
63.0,100.0
64.0,100.0
65.0,100.0
66.0,100.0
67.0,100.0
68.0,100.0
69.0,100.0
70.0,100.0
71.0,100.0
72.0,100.0
73.0,100.0
74.0,100.0
75.0,100.0
76.0,100.0
77.0,100.0
78.0,100.0
79.0,100.0
80.0,100.0
81.0,100.0
82.0,100.0
83.0,100.0
84.0,100.0
85.0,100.0
86.0,100.0
87.0,100.0
88.0,100.0
89.0,100.0
90.0,100.0
91.0,100.0
92.0,100.0
93.0,100.0
94.0,100.0
95.0,100.0
96.0,100.0
97.0,100.0
98.0,100.0
99.0,100.0
100.0,100.0
101.0,100.0
102.0,100.0
103.0,100.0
104.0,100.0
105.0,100.0
106.0,100.0
107.0,100.0
108.0,100.0
109.0,99.5
110.0,99.5
111.0,99.5
112.0,99.5
113.0,99.5
114.0,99.5
115.0,99.5
116.0,99.5
117.0,99.5
118.0,99.5
119.0,99.5
120.0,99.5
121.0,99.5
122.0,99.5
123.0,99.5
124.0,99.5
125.0,99.5
126.0,99.5
127.0,99.5
128.0,99.5
129.0,99.5
130.0,99.5
131.0,99.5
132.0,99.5
133.0,99.5
134.0,99.5
135.0,99.5
136.0,99.5
137.0,99.5
138.0,99.5
139.0,99.5
140.0,99.5
141.0,99.5
142.0,99.0
143.0,99.0
144.0,99.0
145.0,99.0
146.0,99.0
147.0,99.0
148.0,99.0
149.0,99.0
150.0,99.0
151.0,99.0
152.0,99.0
153.0,99.0
154.0,99.0
155.0,99.0
156.0,99.0
157.0,99.0
158.0,99.0
159.0,99.0
160.0,99.0
161.0,99.0
162.0,99.0
163.0,99.0
164.0,99.0
165.0,99.0
166.0,99.0
167.0,99.0
168.0,99.0
169.0,99.0
170.0,99.0
171.0,99.0
172.0,99.0
173.0,99.0
174.0,99.0
175.0,98.5
176.0,98.5
177.0,98.5
178.0,98.5
179.0,98.5
180.0,98.5
181.0,98.5
182.0,98.5
183.0,98.5
184.0,98.5
185.0,98.5
186.0,98.5
187.0,98.5
188.0,98.5
189.0,98.5
190.0,98.5
191.0,98.5
192.0,98.5
193.0,98.5
194.0,98.5
195.0,98.5
196.0,98.5
197.0,98.5
198.0,98.5
199.0,98.5
200.0,98.5
201.0,98.5
202.0,98.5
203.0,98.5
204.0,98.5
205.0,98.5
206.0,98.5
207.0,98.5
208.0,98.0
209.0,98.0
210.0,98.0
211.0,98.0
