0,0|0.0714286,0|0.142857,0|0.214286,0|0.285714,0|0.357143,0|0.428571,0|0.5,0|0.571429,0|0.642857,0|0.714286,0|0.785714,0|0.857143,0|0.928571,0|
0.0357143,0.061859|0.107143,0.061859|0.178571,0.061859|0.25,0.061859|0.321429,0.061859|0.392857,0.061859|0.464286,0.061859|0.535714,0.061859|0.607143,0.061859|0.678571,0.061859|0.75,0.061859|0.821429,0.061859|0.892857,0.061859|
0.0714286,0.123718|0.142857,0.123718|0.214286,0.123718|0.285714,0.123718|0.357143,0.123718|0.428571,0.123718|0.5,0.123718|0.571429,0.123718|0.642857,0.123718|0.714286,0.123718|0.785714,0.123718|0.857143,0.123718|0.928571,0.123718|
0.0357143,0.185577|0.107143,0.185577|0.178571,0.185577|0.25,0.185577|0.321429,0.185577|0.392857,0.185577|0.464286,0.185577|0.535714,0.185577|0.607143,0.185577|0.678571,0.185577|0.75,0.185577|0.821429,0.185577|0.892857,0.185577|
0.0714286,0.247436|0.142857,0.247436|0.214286,0.247436|0.285714,0.247436|0.357143,0.247436|0.428571,0.247436|0.5,0.247436|0.571429,0.247436|0.642857,0.247436|0.714286,0.247436|0.785714,0.247436|0.857143,0.247436|0.928571,0.247436|
0.0357143,0.309295|0.107143,0.309295|0.178571,0.309295|0.25,0.309295|0.321429,0.309295|0.392857,0.309295|0.464286,0.309295|0.535714,0.309295|0.607143,0.309295|0.678571,0.309295|0.75,0.309295|0.821429,0.309295|0.892857,0.309295|
0.0714286,0.371154|0.142857,0.371154|0.214286,0.371154|0.285714,0.371154|0.357143,0.371154|0.428571,0.371154|0.5,0.371154|0.571429,0.371154|0.642857,0.371154|0.714286,0.371154|0.785714,0.371154|0.857143,0.371154|0.928571,0.371154|
0.0357143,0.433013|0.107143,0.433013|0.178571,0.433013|0.25,0.433013|0.321429,0.433013|0.392857,0.433013|0.464286,0.433013|0.535714,0.433013|0.607143,0.433013|0.678571,0.433013|0.75,0.433013|0.821429,0.433013|0.892857,0.433013|
0.0714286,0.494872|0.142857,0.494872|0.214286,0.494872|0.285714,0.494872|0.357143,0.494872|0.428571,0.494872|0.5,0.494872|0.571429,0.494872|0.642857,0.494872|0.714286,0.494872|0.785714,0.494872|0.857143,0.494872|0.928571,0.494872|
0.0357143,0.556731|0.107143,0.556731|0.178571,0.556731|0.25,0.556731|0.321429,0.556731|0.392857,0.556731|0.464286,0.556731|0.535714,0.556731|0.607143,0.556731|0.678571,0.556731|0.75,0.556731|0.821429,0.556731|0.892857,0.556731|
0.0714286,0.61859|0.142857,0.61859|0.214286,0.61859|0.285714,0.61859|0.357143,0.61859|0.428571,0.61859|0.5,0.61859|0.571429,0.61859|0.642857,0.61859|0.714286,0.61859|0.785714,0.61859|0.857143,0.61859|0.928571,0.61859|
0.0357143,0.680449|0.107143,0.680449|0.178571,0.680449|0.25,0.680449|0.321429,0.680449|0.392857,0.680449|0.464286,0.680449|0.535714,0.680449|0.607143,0.680449|0.678571,0.680449|0.75,0.680449|0.821429,0.680449|0.892857,0.680449|
0.0714286,0.742307|0.142857,0.742307|0.214286,0.742307|0.285714,0.742307|0.357143,0.742307|0.428571,0.742307|0.5,0.742307|0.571429,0.742307|0.642857,0.742307|0.714286,0.742307|0.785714,0.742307|0.857143,0.742307|0.928571,0.742307|
0.0357143,0.804166|0.107143,0.804166|0.178571,0.804166|0.25,0.804166|0.321429,0.804166|0.392857,0.804166|0.464286,0.804166|0.535714,0.804166|0.607143,0.804166|0.678571,0.804166|0.75,0.804166|0.821429,0.804166|0.892857,0.804166|
0.0714286,0.866025|0.142857,0.866025|0.214286,0.866025|0.285714,0.866025|0.357143,0.866025|0.428571,0.866025|0.5,0.866025|0.571429,0.866025|0.642857,0.866025|0.714286,0.866025|0.785714,0.866025|0.857143,0.866025|0.928571,0.866025|
0.0357143,0.927884|0.107143,0.927884|0.178571,0.927884|0.25,0.927884|

