Time,Susceptible,Exposed,Infected,Recovered
0,99,0,1,0
1,99,0,1,0
2,99,0,1,0
3,99,0,1,0
4,99,0,1,0
5,99,0,1,0
6,99,0,1,0
7,99,0,1,0
8,99,0,0,1
9,99,0,0,1
10,99,0,0,1
11,99,0,0,1
12,99,0,0,1
13,99,0,0,1
14,99,0,0,1
15,99,0,0,1
16,99,0,0,1
17,99,0,0,1
18,99,0,0,1
19,99,0,0,1
20,99,0,0,1
21,99,0,0,1
22,99,0,0,1
23,99,0,0,1
24,99,0,0,1
25,99,0,0,1
26,99,0,0,1
27,99,0,0,1
28,99,0,0,1
29,99,0,0,1
30,99,0,0,1
31,99,0,0,1
32,99,0,0,1
33,99,0,0,1
34,99,0,0,1
35,99,0,0,1
36,99,0,0,1
37,99,0,0,1
38,99,0,0,1
39,99,0,0,1
40,99,0,0,1
41,99,0,0,1
42,99,0,0,1
43,99,0,0,1
44,99,0,0,1
45,99,0,0,1
46,99,0,0,1
47,99,0,0,1
48,99,0,0,1
49,99,0,0,1
50,99,0,0,1
51,99,0,0,1
52,99,0,0,1
53,99,0,0,1
54,99,0,0,1
55,99,0,0,1
56,99,0,0,1
57,99,0,0,1
58,99,0,0,1
59,99,0,0,1
60,99,0,0,1
61,99,0,0,1
62,99,0,0,1
63,99,0,0,1
64,99,0,0,1
65,99,0,0,1
66,99,0,0,1
67,99,0,0,1
68,99,0,0,1
69,99,0,0,1
70,99,0,0,1
71,99,0,0,1
72,99,0,0,1
73,99,0,0,1
74,99,0,0,1
75,99,0,0,1
76,99,0,0,1
77,99,0,0,1
78,99,0,0,1
79,99,0,0,1
80,99,0,0,1
81,99,0,0,1
82,99,0,0,1
83,99,0,0,1
84,99,0,0,1
85,99,0,0,1
86,99,0,0,1
87,99,0,0,1
88,99,0,0,1
89,99,0,0,1
90,99,0,0,1
91,99,0,0,1
92,99,0,0,1
93,99,0,0,1
94,99,0,0,1
95,99,0,0,1
96,99,0,0,1
97,99,0,0,1
98,99,0,0,1
99,99,0,0,1
100,99,0,0,1
101,99,0,0,1
102,99,0,0,1
103,99,0,0,1
104,99,0,0,1
105,99,0,0,1
106,99,0,0,1
107,99,0,0,1
108,99,0,0,1
109,99,0,0,1
110,99,0,0,1
111,99,0,0,1
112,99,0,0,1
113,99,0,0,1
114,99,0,0,1
115,99,0,0,1
116,99,0,0,1
117,99,0,0,1
118,99,0,0,1
119,99,0,0,1
120,99,0,0,1
121,99,0,0,1
122,99,0,0,1
123,99,0,0,1
124,99,0,0,1
125,99,0,0,1
126,99,0,0,1
127,99,0,0,1
128,99,0,0,1
129,99,0,0,1
130,99,0,0,1
131,99,0,0,1
132,99,0,0,1
133,99,0,0,1
134,99,0,0,1
135,99,0,0,1
136,99,0,0,1
137,99,0,0,1
138,99,0,0,1
139,99,0,0,1
140,99,0,0,1
141,99,0,0,1
142,99,0,0,1
143,99,0,0,1
144,99,0,0,1
145,99,0,0,1
146,99,0,0,1
147,99,0,0,1
148,99,0,0,1
149,99,0,0,1
150,99,0,0,1
151,99,0,0,1
152,99,0,0,1
153,99,0,0,1
154,99,0,0,1
155,99,0,0,1
156,99,0,0,1
157,99,0,0,1
158,99,0,0,1
159,99,0,0,1
160,99,0,0,1
161,99,0,0,1
162,99,0,0,1
163,99,0,0,1
164,99,0,0,1
165,99,0,0,1
166,99,0,0,1
167,99,0,0,1
168,99,0,0,1
169,99,0,0,1
170,99,0,0,1
171,99,0,0,1
172,99,0,0,1
173,99,0,0,1
174,99,0,0,1
175,99,0,0,1
176,99,0,0,1
177,99,0,0,1
178,99,0,0,1
179,99,0,0,1
180,99,0,0,1
181,99,0,0,1
182,99,0,0,1
183,99,0,0,1
184,99,0,0,1
185,99,0,0,1
186,99,0,0,1
187,99,0,0,1
188,99,0,0,1
189,99,0,0,1
190,99,0,0,1
191,99,0,0,1
192,99,0,0,1
193,99,0,0,1
194,99,0,0,1
195,99,0,0,1
196,99,0,0,1
197,99,0,0,1
198,99,0,0,1
199,99,0,0,1
