Time,Susceptible,Infected,Recovered
0,99,1,0
1,99,1,0
2,97,3,0
3,96,4,0
4,96,4,0
5,96,4,0
6,95,5,0
7,95,5,0
8,95,5,0
9,94,6,0
10,90,10,0
11,90,9,1
12,90,9,1
13,89,10,1
14,87,12,1
15,85,11,4
16,84,12,4
17,81,15,4
18,80,15,5
19,78,16,6
20,75,19,6
21,72,20,8
22,70,22,8
23,69,23,8
24,66,26,8
25,64,28,8
26,60,30,10
27,57,32,11
28,54,34,12
29,52,35,13
30,46,40,14
31,43,41,16
32,40,42,18
33,36,41,23
34,31,45,24
35,27,47,26
36,26,47,27
37,23,45,32
38,21,43,36
39,19,43,38
40,16,46,38
41,14,44,42
42,11,46,43
43,9,48,43
44,9,46,45
45,7,46,47
46,7,44,49
47,7,42,51
48,7,40,53
49,6,39,55
50,6,38,56
51,5,39,56
52,5,36,59
53,4,35,61
54,4,34,62
55,4,34,62
56,3,34,63
57,3,33,64
58,3,32,65
59,3,29,68
60,3,27,70
61,3,25,72
62,3,24,73
63,3,24,73
64,3,22,75
65,2,21,77
66,2,18,80
67,2,18,80
68,2,16,82
69,2,15,83
70,2,15,83
71,2,15,83
72,2,14,84
73,2,14,84
74,2,12,86
75,2,12,86
76,2,12,86
77,2,10,88
78,2,10,88
79,2,10,88
80,2,9,89
81,2,9,89
82,2,8,90
83,2,8,90
84,2,7,91
85,2,7,91
86,2,6,92
87,2,6,92
88,2,5,93
89,2,4,94
90,2,4,94
91,2,4,94
92,2,4,94
93,2,4,94
94,2,4,94
95,2,4,94
96,2,4,94
97,2,3,95
98,2,3,95
99,2,2,96
100,2,2,96
101,2,2,96
102,2,2,96
103,2,2,96
104,2,2,96
105,2,2,96
106,2,2,96
107,2,2,96
108,2,2,96
109,2,2,96
110,2,2,96
111,2,1,97
112,2,1,97
113,2,1,97
114,2,1,97
115,2,1,97
116,2,1,97
117,2,0,98
118,2,0,98
119,2,0,98
120,2,0,98
121,2,0,98
122,2,0,98
123,2,0,98
124,2,0,98
125,2,0,98
126,2,0,98
