Time,Susceptible,Infected,Recovered
0,97,3,0
0.005,97,3,0
0.01,97,3,0
0.015,97,3,0
0.02,97,3,0
0.025,97,3,0
0.03,97,3,0
0.035,97,3,0
0.04,97,3,0
0.045,97,3,0
0.05,97,3,0
0.055,97,3,0
0.06,97,3,0
0.065,97,3,0
0.07,97,3,0
0.075,97,3,0
0.08,97,3,0
0.085,97,3,0
0.09,97,3,0
0.095,97,3,0
0.1,97,3,0
0.105,97,3,0
0.11,97,3,0
0.115,97,3,0
0.12,97,3,0
0.125,97,3,0
0.13,97,3,0
0.135,97,3,0
0.14,97,3,0
0.145,97,3,0
0.15,97,3,0
0.155,97,3,0
0.16,97,3,0
0.165,97,3,0
0.17,97,3,0
0.175,97,3,0
0.18,97,2,1
0.185,97,2,1
0.19,97,1,2
0.195,97,1,2
0.2,97,1,2
0.205,97,1,2
0.21,97,1,2
0.215,97,1,2
0.22,97,1,2
0.225,97,1,2
0.23,97,1,2
0.235,97,1,2
0.24,97,1,2
0.245,97,1,2
0.25,97,1,2
0.255,97,1,2
0.26,97,1,2
0.265,97,1,2
0.27,97,1,2
0.275,97,1,2
0.28,97,1,2
0.285,97,1,2
0.29,97,1,2
0.295,97,1,2
0.3,97,1,2
0.305,97,1,2
0.31,97,1,2
0.315,97,1,2
0.32,97,1,2
0.325,97,1,2
0.33,97,1,2
0.335,97,1,2
0.34,97,1,2
0.345,97,1,2
0.35,97,1,2
0.355,97,1,2
0.36,97,1,2
0.365,97,1,2
0.37,97,1,2
0.375,97,1,2
0.38,97,1,2
0.385,97,1,2
0.39,97,1,2
0.395,97,1,2
0.4,97,1,2
0.405,97,1,2
0.41,97,1,2
0.415,97,1,2
0.42,97,1,2
0.425,97,1,2
0.43,97,1,2
0.435,97,1,2
0.44,97,1,2
0.445,97,1,2
0.45,97,1,2
0.455,97,1,2
0.46,97,1,2
0.465,97,1,2
0.47,97,1,2
0.475,97,1,2
0.48,97,1,2
0.485,97,1,2
0.49,97,1,2
0.495,97,1,2
0.5,97,1,2
0.505,97,1,2
0.51,97,1,2
0.515,97,1,2
0.52,97,1,2
0.525,97,1,2
0.53,97,1,2
0.535,97,1,2
0.54,97,1,2
0.545,97,1,2
0.55,97,1,2
0.555,97,1,2
0.56,97,1,2
0.565,97,1,2
0.57,97,1,2
0.575,97,1,2
0.58,97,1,2
0.585,97,1,2
0.59,97,1,2
0.595,97,1,2
0.6,97,1,2
0.605,97,1,2
0.61,97,1,2
0.615,97,1,2
0.62,97,1,2
0.625,97,1,2
0.63,97,1,2
0.635,97,1,2
0.64,97,1,2
0.645,97,1,2
0.65,97,1,2
0.655,97,1,2
0.66,97,1,2
0.665,97,1,2
0.67,97,1,2
0.675,97,1,2
0.68,97,1,2
0.685,97,1,2
0.69,97,1,2
0.695,97,1,2
0.7,97,1,2
0.705,97,1,2
0.71,97,1,2
0.715,97,1,2
0.72,97,1,2
0.725,97,1,2
0.73,97,1,2
0.735,97,1,2
0.74,97,1,2
0.745,97,1,2
0.75,97,1,2
0.755,97,1,2
0.76,97,1,2
0.765,97,1,2
0.77,97,1,2
0.775,97,1,2
0.78,97,1,2
0.785,97,1,2
0.79,97,1,2
0.795,97,1,2
0.8,97,1,2
0.805,97,1,2
0.81,97,1,2
0.815,97,1,2
0.82,97,1,2
0.825,97,1,2
0.83,97,1,2
0.835,97,1,2
0.84,97,1,2
0.845,97,1,2
0.85,97,1,2
0.855,97,1,2
0.86,97,1,2
0.865,97,1,2
0.87,97,1,2
0.875,97,1,2
0.88,97,1,2
0.885,97,1,2
0.89,97,1,2
0.895,97,1,2
0.9,97,1,2
0.905,97,1,2
0.91,97,1,2
0.915,97,1,2
0.92,97,1,2
0.925,97,1,2
0.93,97,1,2
0.935,97,1,2
0.94,97,1,2
0.945,97,1,2
0.95,97,1,2
0.955,97,1,2
