time,susceptible mean
0.0,97.0
0.005,97.0
0.01,97.0
0.015,97.0
0.02,97.0
0.025,97.0
0.03,96.66666666666667
0.035,96.66666666666667
0.04,96.66666666666667
0.045,96.33333333333333
0.05,96.33333333333333
0.055,96.33333333333333
0.06,96.0
0.065,96.0
0.07,96.0
0.075,96.0
0.08,96.0
0.085,96.0
0.09,96.0
0.095,96.0
0.1,96.0
0.105,96.0
0.11,96.0
0.115,96.0
0.12,96.0
0.125,96.0
0.13,96.0
0.135,96.0
0.14,96.0
0.145,96.0
0.15,96.0
0.155,96.0
0.16,96.0
0.165,96.0
0.17,96.0
0.175,96.0
0.18,96.0
0.185,96.0
0.19,96.0
0.195,96.0
0.2,96.0
0.205,96.0
0.21,96.0
0.215,96.0
0.22,96.0
0.225,96.0
0.23,96.0
0.235,96.0
0.24,96.0
0.245,96.0
0.25,96.0
0.255,96.0
0.26,96.0
0.265,96.0
0.27,96.0
0.275,96.0
0.28,96.0
0.285,96.0
0.29,96.0
0.295,96.0
0.3,96.0
0.305,96.0
0.31,96.0
0.315,96.0
0.32,96.0
0.325,96.0
0.33,96.0
0.335,96.0
0.34,96.0
0.345,96.0
0.35,96.0
0.355,96.0
0.36,96.0
0.365,96.0
0.37,96.0
0.375,96.0
0.38,96.0
0.385,96.0
0.39,96.0
0.395,96.0
0.4,96.0
0.405,96.0
0.41,96.0
0.415,96.0
0.42,96.0
0.425,96.0
0.43,96.0
0.435,96.0
0.44,96.0
0.445,96.0
0.45,96.0
0.455,96.0
0.46,96.0
0.465,96.0
0.47,96.0
0.475,96.0
0.48,96.0
0.485,96.0
0.49,96.0
0.495,96.0
0.5,96.0
0.505,96.0
0.51,96.0
0.515,96.0
0.52,96.0
0.525,96.0
0.53,96.0
0.535,96.0
0.54,96.0
0.545,96.0
0.55,96.0
0.555,96.0
0.56,96.0
0.565,96.0
0.57,96.0
0.575,96.0
0.58,96.0
0.585,96.0
0.59,96.0
0.595,96.0
0.6,96.0
0.605,96.0
0.61,96.0
0.615,96.0
0.62,96.0
0.625,96.0
0.63,96.0
0.635,96.0
0.64,96.0
0.645,96.0
0.65,96.0
0.655,96.0
0.66,96.0
0.665,96.0
0.67,96.0
0.675,96.0
0.68,96.0
0.685,96.0
0.69,96.0
0.695,96.0
0.7,96.0
0.705,96.0
0.71,96.0
0.715,96.0
0.72,96.0
0.725,96.0
0.73,96.0
0.735,96.0
0.74,96.0
0.745,96.0
0.75,96.0
0.755,96.0
0.76,96.0
0.765,96.0
0.77,96.0
0.775,96.0
0.78,96.0
0.785,96.0
0.79,96.0
0.795,96.0
0.8,96.0
0.805,96.0
0.81,96.0
0.815,96.0
0.82,96.0
0.825,96.0
0.83,96.0
0.835,96.0
0.84,96.0
0.845,96.0
0.85,96.0
0.855,96.0
0.86,96.0
0.865,96.0
0.87,96.0
0.875,96.0
0.88,96.0
