Time,Susceptible,Infected
0,99,1
1,99,1
2,99,1
3,99,1
4,99,1
5,99,1
6,99,1
7,99,1
8,99,1
9,99,1
10,99,1
11,99,1
12,99,1
13,99,1
14,99,1
15,99,1
16,99,1
17,99,1
18,99,1
19,99,1
20,99,1
21,99,1
22,99,1
23,99,1
24,99,1
25,99,1
26,99,1
27,99,1
28,99,1
29,99,1
30,99,1
31,99,1
32,99,1
33,99,1
34,99,1
35,99,1
36,99,1
37,99,1
38,99,1
39,99,1
40,99,1
41,99,1
42,99,1
43,99,1
44,99,1
45,99,1
46,99,1
47,98,2
48,98,2
49,98,2
50,98,2
51,98,2
52,97,3
53,97,3
54,96,4
55,96,4
56,96,4
57,96,4
58,96,4
59,96,4
60,97,3
61,96,4
62,96,4
63,96,4
64,95,5
65,94,6
66,94,6
67,94,6
68,93,7
69,94,6
70,94,6
71,92,8
72,92,8
73,91,9
74,89,11
75,89,11
76,89,11
77,87,13
78,86,14
79,86,14
80,84,16
81,83,17
82,82,18
83,81,19
84,77,23
85,74,26
86,73,27
87,71,29
88,68,32
89,66,34
90,62,38
91,59,41
92,57,43
93,56,44
94,54,46
95,51,49
96,51,49
97,46,54
98,46,54
99,45,55
100,46,54
101,43,57
102,43,57
103,39,61
104,40,60
105,39,61
106,38,62
107,35,65
108,33,67
109,32,68
110,28,72
111,24,76
112,24,76
113,25,75
114,25,75
115,25,75
116,23,77
117,24,76
118,21,79
119,20,80
120,19,81
121,17,83
122,13,87
123,12,88
124,12,88
125,12,88
126,13,87
127,12,88
128,11,89
129,12,88
130,10,90
131,9,91
132,8,92
133,10,90
134,11,89
135,11,89
136,13,87
137,11,89
138,11,89
139,10,90
140,9,91
141,10,90
142,12,88
143,13,87
144,13,87
145,13,87
146,13,87
147,12,88
148,11,89
149,10,90
150,9,91
151,10,90
152,9,91
153,8,92
154,9,91
155,9,91
156,9,91
157,12,88
158,11,89
159,9,91
160,9,91
161,8,92
162,8,92
163,9,91
164,8,92
165,9,91
166,10,90
167,10,90
168,10,90
169,9,91
170,9,91
171,9,91
172,8,92
173,8,92
174,8,92
175,9,91
176,10,90
177,12,88
178,10,90
179,12,88
180,13,87
181,11,89
182,12,88
183,12,88
184,10,90
185,11,89
186,11,89
187,10,90
188,10,90
189,11,89
190,11,89
191,12,88
192,10,90
193,11,89
194,10,90
195,10,90
196,10,90
197,7,93
198,7,93
199,9,91
200,10,90
201,10,90
202,10,90
203,10,90
204,9,91
205,9,91
206,10,90
207,7,93
208,9,91
209,8,92
210,8,92
211,8,92
212,8,92
213,8,92
214,9,91
215,9,91
216,11,89
217,10,90
218,10,90
219,10,90
220,9,91
221,12,88
222,12,88
223,12,88
224,10,90
225,8,92
226,8,92
227,7,93
228,7,93
229,7,93
230,5,95
231,5,95
232,5,95
233,5,95
234,4,96
235,5,95
236,4,96
237,5,95
238,4,96
239,4,96
240,5,95
241,5,95
242,5,95
243,6,94
244,7,93
245,7,93
246,7,93
247,6,94
248,5,95
249,6,94
250,7,93
251,7,93
252,7,93
253,6,94
254,5,95
255,6,94
256,7,93
257,9,91
258,10,90
259,11,89
260,10,90
261,10,90
262,9,91
263,12,88
264,12,88
265,12,88
266,11,89
267,11,89
268,13,87
269,13,87
270,12,88
271,13,87
272,13,87
273,14,86
274,14,86
275,15,85
276,14,86
277,13,87
278,13,87
279,11,89
280,11,89
281,12,88
282,10,90
283,10,90
284,10,90
285,11,89
286,11,89
287,12,88
288,13,87
289,14,86
290,14,86
291,15,85
292,16,84
293,15,85
294,14,86
295,12,88
296,13,87
297,14,86
298,13,87
299,13,87
300,16,84
301,17,83
302,18,82
303,18,82
304,18,82
305,16,84
306,14,86
307,14,86
308,14,86
309,14,86
310,11,89
311,10,90
312,10,90
313,11,89
314,10,90
315,10,90
316,14,86
317,15,85
318,14,86
319,18,82
320,17,83
321,18,82
322,17,83
323,16,84
324,16,84
325,16,84
326,16,84
327,17,83
328,17,83
329,14,86
330,13,87
331,14,86
332,11,89
333,8,92
334,8,92
335,8,92
336,7,93
337,8,92
338,9,91
339,8,92
340,8,92
341,9,91
342,8,92
343,8,92
344,7,93
345,6,94
346,5,95
347,4,96
348,4,96
349,3,97
350,3,97
351,3,97
352,4,96
353,5,95
354,6,94
355,5,95
356,5,95
357,4,96
358,5,95
359,6,94
360,7,93
361,7,93
362,10,90
363,8,92
364,9,91
365,8,92
366,10,90
367,8,92
368,8,92
369,7,93
370,7,93
371,9,91
372,9,91
373,9,91
374,8,92
375,9,91
376,6,94
377,8,92
378,7,93
379,9,91
380,11,89
381,10,90
382,12,88
383,12,88
384,11,89
385,9,91
386,9,91
387,9,91
388,8,92
389,10,90
390,8,92
391,11,89
392,10,90
393,10,90
394,9,91
395,10,90
396,13,87
397,11,89
398,10,90
399,9,91
400,8,92
401,9,91
402,11,89
403,8,92
404,7,93
405,7,93
406,7,93
407,7,93
408,8,92
409,8,92
410,9,91
411,9,91
412,10,90
413,10,90
414,9,91
415,10,90
416,10,90
417,11,89
418,10,90
419,9,91
420,10,90
421,8,92
422,6,94
423,8,92
424,10,90
425,10,90
426,10,90
427,12,88
428,17,83
429,16,84
430,15,85
431,15,85
432,15,85
433,15,85
434,16,84
435,15,85
436,14,86
437,14,86
438,12,88
439,11,89
440,13,87
441,15,85
442,15,85
443,17,83
444,18,82
445,15,85
446,15,85
447,17,83
448,16,84
449,17,83
450,18,82
451,17,83
452,17,83
453,16,84
454,16,84
455,14,86
456,13,87
457,16,84
458,15,85
459,16,84
460,15,85
461,17,83
462,15,85
463,15,85
464,15,85
465,16,84
466,16,84
467,16,84
468,18,82
469,20,80
470,18,82
471,18,82
472,19,81
473,19,81
474,19,81
475,16,84
476,17,83
477,17,83
478,13,87
479,13,87
480,14,86
481,14,86
482,13,87
483,14,86
484,13,87
485,12,88
486,14,86
487,14,86
488,13,87
489,11,89
490,11,89
491,12,88
492,11,89
493,11,89
494,11,89
495,11,89
496,10,90
497,12,88
498,13,87
499,12,88
500,9,91
501,7,93
502,5,95
503,6,94
504,6,94
505,7,93
506,8,92
507,8,92
508,11,89
509,9,91
510,10,90
511,11,89
512,10,90
513,11,89
514,11,89
515,11,89
516,11,89
517,9,91
518,10,90
519,10,90
520,10,90
521,11,89
522,11,89
523,10,90
524,11,89
525,10,90
526,12,88
527,11,89
528,13,87
529,13,87
530,10,90
531,11,89
532,12,88
533,13,87
534,13,87
535,14,86
536,13,87
537,14,86
538,11,89
539,11,89
540,10,90
541,8,92
542,10,90
543,12,88
544,13,87
545,13,87
546,14,86
547,13,87
548,13,87
549,11,89
550,14,86
551,14,86
552,13,87
553,12,88
554,13,87
555,12,88
556,11,89
557,11,89
558,11,89
559,9,91
560,10,90
561,10,90
562,9,91
563,10,90
564,12,88
565,10,90
566,12,88
567,10,90
568,11,89
569,7,93
570,8,92
571,11,89
572,11,89
573,12,88
574,11,89
575,11,89
576,11,89
577,12,88
578,13,87
579,11,89
580,10,90
581,10,90
582,9,91
583,10,90
584,11,89
585,6,94
586,6,94
587,6,94
588,5,95
589,5,95
590,7,93
591,7,93
592,8,92
593,7,93
594,8,92
595,6,94
596,6,94
597,7,93
598,7,93
599,7,93
600,8,92
601,7,93
602,4,96
603,3,97
604,6,94
605,6,94
606,6,94
607,5,95
608,6,94
609,7,93
610,6,94
611,5,95
612,6,94
613,6,94
614,9,91
615,10,90
616,12,88
617,11,89
618,9,91
619,9,91
620,9,91
621,9,91
622,7,93
623,8,92
624,9,91
625,10,90
626,10,90
627,9,91
628,8,92
629,8,92
630,9,91
631,9,91
632,9,91
633,6,94
634,7,93
635,7,93
636,6,94
637,5,95
638,4,96
639,4,96
640,6,94
641,5,95
642,4,96
643,4,96
644,4,96
645,4,96
646,5,95
647,5,95
648,6,94
649,7,93
650,7,93
651,5,95
652,5,95
653,5,95
654,4,96
655,6,94
656,6,94
657,9,91
658,10,90
659,10,90
660,10,90
661,8,92
662,8,92
663,7,93
664,7,93
665,8,92
666,8,92
667,9,91
668,11,89
669,11,89
670,9,91
671,9,91
672,10,90
673,10,90
674,9,91
675,11,89
676,10,90
677,9,91
678,9,91
679,10,90
680,9,91
681,8,92
682,9,91
683,9,91
684,9,91
685,10,90
686,11,89
687,13,87
688,10,90
689,9,91
690,8,92
691,10,90
692,7,93
693,9,91
694,10,90
695,10,90
696,11,89
697,9,91
698,8,92
699,11,89
700,12,88
701,12,88
702,14,86
703,15,85
704,13,87
705,13,87
706,12,88
707,12,88
708,12,88
709,11,89
710,11,89
711,11,89
712,11,89
713,11,89
714,14,86
715,13,87
716,13,87
