Time,Susceptible,Infected
0,96,4
1,93,7
2,94,6
3,92,8
4,92,8
5,89,11
6,87,13
7,84,16
8,84,16
9,82,18
10,78,22
11,78,22
12,79,21
13,77,23
14,76,24
15,74,26
16,74,26
17,73,27
18,72,28
19,70,30
20,67,33
21,65,35
22,63,37
23,63,37
24,61,39
25,57,43
26,55,45
27,54,46
28,52,48
29,51,49
30,49,51
31,49,51
32,46,54
33,46,54
34,46,54
35,45,55
36,46,54
37,43,57
38,39,61
39,36,64
40,33,67
41,32,68
42,32,68
43,32,68
44,32,68
45,30,70
46,26,74
47,25,75
48,23,77
49,22,78
50,24,76
51,22,78
52,21,79
53,21,79
54,21,79
55,19,81
56,17,83
57,15,85
58,13,87
59,13,87
60,10,90
61,10,90
62,11,89
63,11,89
64,11,89
65,11,89
66,11,89
67,11,89
68,11,89
69,13,87
70,16,84
71,15,85
72,14,86
73,13,87
74,13,87
75,11,89
76,10,90
77,8,92
78,8,92
79,12,88
80,11,89
81,10,90
82,9,91
83,9,91
84,10,90
85,10,90
86,10,90
87,9,91
88,11,89
89,11,89
90,12,88
91,10,90
92,11,89
93,12,88
94,11,89
95,10,90
96,12,88
97,13,87
98,14,86
99,13,87
100,10,90
101,9,91
102,10,90
103,11,89
104,11,89
105,11,89
106,12,88
107,12,88
108,14,86
109,15,85
110,15,85
111,15,85
112,17,83
113,17,83
114,15,85
115,16,84
116,16,84
117,17,83
118,16,84
119,17,83
120,15,85
121,15,85
122,13,87
123,14,86
124,14,86
125,15,85
126,15,85
127,14,86
128,18,82
129,18,82
130,18,82
131,18,82
132,18,82
133,19,81
134,19,81
135,20,80
136,15,85
137,14,86
138,14,86
139,13,87
140,13,87
141,14,86
142,14,86
143,17,83
144,18,82
145,18,82
146,16,84
147,14,86
148,14,86
149,14,86
150,14,86
151,15,85
152,15,85
153,14,86
154,15,85
155,15,85
156,14,86
157,13,87
158,12,88
159,10,90
160,10,90
161,10,90
162,10,90
163,11,89
164,10,90
165,9,91
166,8,92
167,9,91
168,8,92
169,8,92
170,9,91
171,8,92
172,10,90
173,10,90
174,9,91
175,10,90
176,9,91
177,11,89
178,13,87
179,12,88
180,8,92
181,8,92
182,9,91
183,8,92
184,8,92
185,8,92
186,7,93
187,6,94
188,7,93
189,8,92
190,6,94
191,9,91
192,8,92
193,8,92
194,6,94
195,6,94
196,8,92
197,10,90
198,9,91
199,8,92
200,8,92
201,8,92
202,8,92
203,8,92
204,9,91
205,8,92
206,8,92
207,7,93
208,7,93
209,7,93
210,5,95
211,6,94
212,7,93
213,8,92
214,9,91
215,9,91
216,8,92
217,8,92
218,8,92
219,8,92
220,10,90
221,12,88
222,11,89
223,11,89
224,10,90
225,11,89
226,11,89
227,12,88
228,14,86
229,16,84
230,16,84
231,16,84
232,16,84
233,15,85
234,14,86
235,14,86
236,14,86
237,18,82
238,19,81
239,17,83
240,17,83
241,13,87
242,11,89
243,13,87
244,13,87
245,13,87
246,13,87
247,12,88
248,13,87
249,14,86
250,14,86
251,12,88
252,11,89
253,8,92
254,10,90
255,10,90
256,7,93
257,9,91
258,10,90
259,10,90
260,10,90
261,10,90
262,11,89
263,12,88
264,15,85
265,13,87
266,13,87
267,11,89
268,10,90
269,10,90
270,9,91
271,9,91
272,10,90
273,10,90
274,10,90
275,11,89
276,12,88
277,10,90
278,12,88
279,12,88
280,12,88
281,14,86
282,13,87
283,12,88
284,14,86
285,13,87
286,13,87
287,16,84
288,16,84
289,14,86
290,13,87
291,13,87
292,12,88
293,12,88
294,11,89
295,11,89
296,11,89
297,12,88
298,11,89
299,9,91
300,9,91
301,8,92
302,9,91
303,9,91
304,6,94
305,8,92
306,7,93
307,6,94
308,6,94
309,4,96
310,6,94
311,7,93
312,9,91
313,10,90
314,9,91
315,10,90
316,11,89
317,11,89
318,10,90
319,10,90
320,9,91
321,8,92
322,8,92
323,8,92
324,10,90
325,9,91
326,10,90
327,10,90
328,11,89
329,10,90
330,9,91
331,10,90
332,9,91
333,10,90
334,11,89
