time,state1Mean,state1lower,state1upper
0,99,99,99
0.1,99,99,99
0.2,99,99,99
0.3,99,99,99
0.4,99,99,99
0.5,99,99,99
0.6,99,99,99
0.7,99,99,99
0.8,99,99,99
0.9,99,99,99
1,99,99,99
1.1,99,99,99
1.2,99,99,99
1.3,99,99,99
1.4,99,99,99
1.5,99,99,99
1.6,99,99,99
1.7,99,99,99
1.8,99,99,99
1.9,99,99,99
2,99,99,99
2.1,99,99,99
2.2,99,99,99
2.3,99,99,99
2.4,99,99,99
2.5,99,99,99
2.6,99,99,99
2.7,99,99,99
2.8,99,99,99
2.9,99,99,99
3,99,99,99
3.1,99,99,99
3.2,99,99,99
3.3,99,99,99
3.4,99,99,99
3.5,99,99,99
3.6,99,99,99
3.7,99,99,99
3.8,98.99,98.8905,99.0895
3.9,98.99,98.8905,99.0895
4,98.99,98.8905,99.0895
4.1,98.99,98.8905,99.0895
4.2,98.99,98.8905,99.0895
4.3,98.99,98.8905,99.0895
4.4,98.99,98.8905,99.0895
4.5,98.99,98.8905,99.0895
4.6,98.99,98.8905,99.0895
4.7,98.99,98.8905,99.0895
4.8,98.99,98.8905,99.0895
4.9,98.99,98.8905,99.0895
5,98.99,98.8905,99.0895
5.1,98.99,98.8905,99.0895
5.2,98.99,98.8905,99.0895
5.3,98.99,98.8905,99.0895
5.4,98.99,98.8905,99.0895
5.5,98.99,98.8905,99.0895
5.6,98.99,98.8905,99.0895
5.7,98.99,98.8905,99.0895
5.8,98.99,98.8905,99.0895
5.9,98.99,98.8905,99.0895
6,98.99,98.8905,99.0895
6.1,98.99,98.8905,99.0895
6.2,98.99,98.8905,99.0895
6.3,98.98,98.84,99.12
6.4,98.98,98.84,99.12
6.5,98.98,98.84,99.12
6.6,98.98,98.84,99.12
6.7,98.98,98.84,99.12
6.8,98.98,98.84,99.12
6.9,98.98,98.84,99.12
7,98.98,98.84,99.12
7.1,98.98,98.84,99.12
7.2,98.98,98.84,99.12
7.3,98.98,98.84,99.12
7.4,98.98,98.84,99.12
7.5,98.98,98.84,99.12
7.6,98.98,98.84,99.12
7.7,98.98,98.84,99.12
7.8,98.98,98.84,99.12
7.9,98.98,98.84,99.12
8,98.98,98.84,99.12
8.1,98.98,98.84,99.12
8.2,98.98,98.84,99.12
8.3,98.98,98.84,99.12
8.4,98.98,98.84,99.12
8.5,98.98,98.84,99.12
8.6,98.98,98.84,99.12
8.7,98.98,98.84,99.12
8.8,98.98,98.84,99.12
8.9,98.98,98.84,99.12
9,98.98,98.84,99.12
9.1,98.98,98.84,99.12
9.2,98.98,98.84,99.12
9.3,98.98,98.84,99.12
9.4,98.98,98.84,99.12
9.5,98.98,98.84,99.12
9.6,98.98,98.84,99.12
9.7,98.98,98.84,99.12
9.8,98.98,98.84,99.12
9.9,98.98,98.84,99.12
10,98.98,98.84,99.12
10.1,98.98,98.84,99.12
10.2,98.98,98.84,99.12
10.3,98.98,98.84,99.12
10.4,98.98,98.84,99.12
10.5,98.98,98.84,99.12
10.6,98.98,98.84,99.12
10.7,98.98,98.84,99.12
10.8,98.98,98.84,99.12
10.9,98.98,98.84,99.12
11,98.98,98.84,99.12
11.1,98.98,98.84,99.12
11.2,98.98,98.84,99.12
11.3,98.98,98.84,99.12
11.4,98.98,98.84,99.12
11.5,98.98,98.84,99.12
11.6,98.98,98.84,99.12
11.7,98.98,98.84,99.12
11.8,98.98,98.84,99.12
11.9,98.98,98.84,99.12
12,98.98,98.84,99.12
12.1,98.98,98.84,99.12
12.2,98.98,98.84,99.12
12.3,98.98,98.84,99.12
12.4,98.98,98.84,99.12
12.5,98.98,98.84,99.12
12.6,98.98,98.84,99.12
12.7,98.98,98.84,99.12
12.8,98.98,98.84,99.12
12.9,98.98,98.84,99.12
13,98.98,98.84,99.12
13.1,98.98,98.84,99.12
13.2,98.98,98.84,99.12
13.3,98.98,98.84,99.12
13.4,98.98,98.84,99.12
13.5,98.98,98.84,99.12
13.6,98.98,98.84,99.12
13.7,98.98,98.84,99.12
13.8,98.98,98.84,99.12
13.9,98.98,98.84,99.12
14,98.98,98.84,99.12
14.1,98.98,98.84,99.12
14.2,98.97,98.7994,99.1406
14.3,98.97,98.7994,99.1406
14.4,98.97,98.7994,99.1406
14.5,98.97,98.7994,99.1406
14.6,98.97,98.7994,99.1406
14.7,98.97,98.7994,99.1406
14.8,98.97,98.7994,99.1406
14.9,98.97,98.7994,99.1406
15,98.97,98.7994,99.1406
15.1,98.97,98.7994,99.1406
15.2,98.97,98.7994,99.1406
15.3,98.97,98.7994,99.1406
15.4,98.97,98.7994,99.1406
15.5,98.97,98.7994,99.1406
15.6,98.97,98.7994,99.1406
15.7,98.97,98.7994,99.1406
15.8,98.97,98.7994,99.1406
15.9,98.97,98.7994,99.1406
16,98.97,98.7994,99.1406
16.1,98.97,98.7994,99.1406
16.2,98.97,98.7994,99.1406
16.3,98.97,98.7994,99.1406
16.4,98.97,98.7994,99.1406
16.5,98.97,98.7994,99.1406
16.6,98.97,98.7994,99.1406
16.7,98.97,98.7994,99.1406
16.8,98.97,98.7994,99.1406
16.9,98.97,98.7994,99.1406
17,98.97,98.7994,99.1406
17.1,98.97,98.7994,99.1406
17.2,98.97,98.7994,99.1406
17.3,98.97,98.7994,99.1406
17.4,98.97,98.7994,99.1406
17.5,98.97,98.7994,99.1406
17.6,98.97,98.7994,99.1406
17.7,98.97,98.7994,99.1406
17.8,98.97,98.7994,99.1406
17.9,98.97,98.7994,99.1406
18,98.97,98.7994,99.1406
18.1,98.97,98.7994,99.1406
18.2,98.97,98.7994,99.1406
18.3,98.97,98.7994,99.1406
18.4,98.97,98.7994,99.1406
18.5,98.97,98.7994,99.1406
18.6,98.97,98.7994,99.1406
18.7,98.97,98.7994,99.1406
18.8,98.97,98.7994,99.1406
18.9,98.97,98.7994,99.1406
19,98.97,98.7994,99.1406
19.1,98.97,98.7994,99.1406
19.2,98.97,98.7994,99.1406
19.3,98.97,98.7994,99.1406
19.4,98.97,98.7994,99.1406
19.5,98.97,98.7994,99.1406
19.6,98.97,98.7994,99.1406
19.7,98.97,98.7994,99.1406
19.8,98.97,98.7994,99.1406
19.9,98.97,98.7994,99.1406
20,98.97,98.7994,99.1406
20.1,98.97,98.7994,99.1406
20.2,98.96,98.764,99.156
20.3,98.96,98.764,99.156
20.4,98.96,98.764,99.156
20.5,98.96,98.764,99.156
20.6,98.96,98.764,99.156
20.7,98.96,98.764,99.156
20.8,98.96,98.764,99.156
20.9,98.96,98.764,99.156
21,98.96,98.764,99.156
21.1,98.96,98.764,99.156
21.2,98.96,98.764,99.156
21.3,98.96,98.764,99.156
21.4,98.96,98.764,99.156
21.5,98.96,98.764,99.156
21.6,98.96,98.764,99.156
21.7,98.96,98.764,99.156
21.8,98.95,98.7321,99.1679
21.9,98.95,98.7321,99.1679
22,98.95,98.7321,99.1679
22.1,98.95,98.7321,99.1679
22.2,98.95,98.7321,99.1679
22.3,98.95,98.7321,99.1679
22.4,98.95,98.7321,99.1679
22.5,98.95,98.7321,99.1679
22.6,98.95,98.7321,99.1679
22.7,98.95,98.7321,99.1679
22.8,98.95,98.7321,99.1679
22.9,98.95,98.7321,99.1679
23,98.95,98.7321,99.1679
23.1,98.95,98.7321,99.1679
23.2,98.95,98.7321,99.1679
23.3,98.95,98.7321,99.1679
23.4,98.95,98.7321,99.1679
23.5,98.95,98.7321,99.1679
23.6,98.95,98.7321,99.1679
23.7,98.95,98.7321,99.1679
23.8,98.95,98.7321,99.1679
23.9,98.95,98.7321,99.1679
24,98.95,98.7321,99.1679
24.1,98.95,98.7321,99.1679
24.2,98.95,98.7321,99.1679
24.3,98.95,98.7321,99.1679
24.4,98.95,98.7321,99.1679
24.5,98.95,98.7321,99.1679
24.6,98.95,98.7321,99.1679
24.7,98.95,98.7321,99.1679
24.8,98.95,98.7321,99.1679
24.9,98.95,98.7321,99.1679
25,98.95,98.7321,99.1679
25.1,98.95,98.7321,99.1679
25.2,98.95,98.7321,99.1679
25.3,98.95,98.7321,99.1679
25.4,98.95,98.7321,99.1679
25.5,98.95,98.7321,99.1679
