time,susceptible,infected,recovered
0,90,10,0
0.1,90,10,0
0.2,90,10,0
0.3,90,10,0
0.4,90,10,0
0.5,90,10,0
0.6,90,10,0
0.7,90,10,0
0.8,90,10,0
0.9,90,10,0
1,90,10,0
1.1,90,10,0
1.2,90,10,0
1.3,90,10,0
1.4,90,10,0
1.5,90,10,0
1.6,90,10,0
1.7,90,10,0
1.8,90,10,0
1.9,90,10,0
2,90,10,0
2.1,90,10,0
2.2,90,10,0
2.3,90,10,0
2.4,90,10,0
2.5,90,10,0
2.6,90,10,0
2.7,90,10,0
2.8,90,10,0
2.9,90,10,0
3,90,10,0
3.1,90,10,0
3.2,90,10,0
3.3,90,10,0
3.4,90,10,0
3.5,90,10,0
3.6,90,10,0
3.7,90,10,0
3.8,90,10,0
3.9,90,10,0
4,90,10,0
4.1,90,10,0
4.2,90,10,0
4.3,90,10,0
4.4,90,10,0
4.5,90,10,0
4.6,90,10,0
4.7,90,10,0
4.8,90,10,0
4.9,90,10,0
5,90,10,0
5.1,90,10,0
5.2,90,10,0
5.3,90,10,0
5.4,90,10,0
5.5,90,10,0
5.6,90,10,0
5.7,90,10,0
5.8,90,10,0
5.9,90,10,0
6,90,10,0
6.1,90,10,0
6.2,90,10,0
6.3,90,10,0
6.4,90,10,0
6.5,90,10,0
6.6,90,10,0
6.7,90,10,0
6.8,90,10,0
6.9,90,10,0
7,90,10,0
7.1,90,10,0
7.2,90,10,0
7.3,90,10,0
7.4,90,10,0
7.5,90,10,0
7.6,90,10,0
7.7,90,10,0
7.8,90,10,0
7.9,90,10,0
8,90,10,0
8.1,90,10,0
8.2,90,10,0
8.3,90,10,0
8.4,90,10,0
8.5,90,10,0
8.6,90,10,0
8.7,90,10,0
8.8,90,10,0
8.9,90,10,0
9,90,10,0
9.1,90,10,0
9.2,90,10,0
9.3,90,10,0
9.4,90,10,0
9.5,90,10,0
9.6,90,10,0
9.7,90,10,0
9.8,90,10,0
9.9,90,10,0
10,90,10,0
10.1,90,10,0
10.2,90,10,0
10.3,90,10,0
10.4,90,10,0
10.5,90,10,0
10.6,90,10,0
10.7,90,10,0
10.8,90,10,0
10.9,90,10,0
11,90,10,0
11.1,90,10,0
11.2,90,10,0
11.3,90,10,0
11.4,90,10,0
11.5,90,10,0
