time,susceptible,infected,recovered
0,90,10,0
9.9,90,10,0
19.8,90,10,0
29.7,90,10,0
39.6,90,10,0
49.5,90,10,0
59.4,88,12,0
69.3,88,12,0
79.2,88,12,0
89.1,88,12,0
99,87,13,0
108.9,87,13,0
118.8,87,13,0
128.7,85,15,0
138.6,85,15,0
148.5,84,16,0
158.4,83,17,0
168.3,82,17,1
178.2,82,17,1
188.1,82,17,1
198,82,17,1
207.9,82,17,1
217.8,82,17,1
227.7,81,18,1
237.6,81,18,1
247.5,81,18,1
257.4,81,17,2
267.3,80,17,3
277.2,80,17,3
287.1,80,16,4
297,80,16,4
306.9,79,17,4
316.8,79,17,4
326.7,79,17,4
336.6,79,17,4
346.5,78,18,4
356.4,78,18,4
366.3,77,19,4
376.2,77,19,4
386.1,77,19,4
396,77,19,4
405.9,76,20,4
415.8,76,20,4
425.7,76,20,4
435.6,75,21,4
445.5,75,20,5
455.4,74,21,5
465.3,74,21,5
475.2,73,21,6
485.1,72,22,6
495,72,22,6
504.9,72,22,6
514.8,72,22,6
524.7,72,22,6
534.6,72,22,6
544.5,72,22,6
554.4,72,21,7
564.3,72,21,7
574.2,72,21,7
584.1,71,21,8
594,71,21,8
603.9,70,21,9
613.8,69,20,11
623.7,69,20,11
633.6,68,21,11
643.5,68,21,11
653.4,68,20,12
663.3,68,20,12
673.2,68,20,12
683.1,68,20,12
693,68,20,12
702.9,68,19,13
712.8,67,19,14
722.7,67,19,14
732.6,67,18,15
742.5,66,19,15
752.4,66,19,15
762.3,66,19,15
772.2,65,20,15
782.1,65,20,15
792,64,21,15
801.9,64,21,15
811.8,64,20,16
821.7,63,21,16
831.6,63,21,16
841.5,63,21,16
851.4,63,21,16
861.3,63,21,16
871.2,62,21,17
881.1,61,22,17
891,61,22,17
900.9,61,22,17
910.8,60,23,17
920.7,60,23,17
930.6,60,23,17
940.5,60,23,17
950.4,60,23,17
960.3,60,23,17
970.2,60,23,17
980.1,59,24,17
990,58,25,17
999.9,58,24,18
1009.8,58,24,18
1019.7,58,24,18
1029.6,58,24,18
1039.5,58,23,19
1049.4,58,23,19
1059.3,58,23,19
1069.2,58,23,19
1079.1,57,24,19
1089,57,24,19
1098.9,56,25,19
1108.8,56,24,20
1118.7,55,24,21
1128.6,54,25,21
1138.5,53,26,21
1148.4,53,26,21
1158.3,53,24,23
1168.2,53,24,23
1178.1,53,23,24
1188,53,23,24
1197.9,53,23,24
1207.8,53,23,24
1217.7,53,23,24
1227.6,53,23,24
1237.5,53,23,24
1247.4,53,23,24
1257.3,53,23,24
1267.2,51,25,24
1277.1,51,25,24
1287,50,26,24
1296.9,49,27,24
1306.8,49,27,24
1316.7,48,28,24
1326.6,48,28,24
1336.5,48,28,24
1346.4,45,31,24
1356.3,45,31,24
1366.2,44,32,24
1376.1,44,32,24
1386,43,32,25
1395.9,43,32,25
1405.8,43,32,25
1415.7,43,32,25
1425.6,43,32,25
1435.5,42,33,25
1445.4,42,33,25
1455.3,42,33,25
1465.2,42,33,25
1475.1,41,34,25
1485,41,34,25
1494.9,41,34,25
1504.8,41,34,25
1514.7,40,35,25
1524.6,40,35,25
1534.5,40,35,25
1544.4,39,36,25
1554.3,39,36,25
1564.2,38,37,25
1574.1,37,37,26
1584,37,37,26
1593.9,37,37,26
1603.8,37,36,27
1613.7,37,36,27
1623.6,37,36,27
1633.5,37,35,28
1643.4,37,34,29
1653.3,37,34,29
1663.2,36,35,29
1673.1,36,34,30
1683,36,34,30
1692.9,36,34,30
1702.8,35,34,31
1712.7,34,34,32
1722.6,34,33,33
1732.5,34,33,33
1742.4,34,32,34
1752.3,34,32,34
1762.2,34,32,34
1772.1,34,31,35
1782,34,30,36
1791.9,33,31,36
1801.8,32,31,37
1811.7,32,31,37
1821.6,32,29,39
1831.5,31,29,40
1841.4,31,28,41
1851.3,31,28,41
1861.2,31,28,41
1871.1,31,28,41
1881,31,27,42
1890.9,31,27,42
1900.8,31,25,44
1910.7,30,26,44
1920.6,30,26,44
1930.5,29,26,45
1940.4,29,26,45
1950.3,29,26,45
1960.2,29,26,45
1970.1,29,26,45
1980,29,25,46
1989.9,29,25,46
1999.8,29,25,46
2009.7,29,25,46
2019.6,29,25,46
2029.5,29,25,46
2039.4,29,25,46
2049.3,29,25,46
2059.2,29,25,46
2069.1,29,25,46
2079,29,25,46
2088.9,29,25,46
2098.8,29,25,46
2108.7,29,25,46
2118.6,29,25,46
2128.5,29,25,46
2138.4,29,25,46
2148.3,29,25,46
2158.2,29,24,47
2168.1,29,24,47
2178,28,25,47
2187.9,28,25,47
2197.8,28,24,48
2207.7,28,24,48
2217.6,28,24,48
2227.5,28,24,48
2237.4,27,25,48
2247.3,27,25,48
2257.2,26,26,48
2267.1,26,26,48
2277,26,26,48
2286.9,26,26,48
2296.8,26,26,48
2306.7,26,26,48
2316.6,26,26,48
2326.5,26,26,48
2336.4,25,27,48
2346.3,25,26,49
2356.2,25,26,49
2366.1,25,26,49
2376,23,28,49
2385.9,22,28,50
2395.8,22,27,51
2405.7,21,28,51
2415.6,21,28,51
2425.5,21,28,51
2435.4,20,28,52
2445.3,20,28,52
2455.2,20,27,53
2465.1,20,27,53
2475,20,26,54
2484.9,20,26,54
2494.8,20,26,54
2504.7,20,26,54
2514.6,20,26,54
2524.5,20,25,55
2534.4,20,25,55
2544.3,19,24,57
2554.2,19,24,57
2564.1,19,24,57
2574,19,24,57
2583.9,19,24,57
2593.8,19,24,57
2603.7,18,25,57
2613.6,18,25,57
2623.5,18,25,57
2633.4,18,25,57
2643.3,17,26,57
2653.2,17,26,57
2663.1,17,24,59
2673,17,24,59
2682.9,17,24,59
2692.8,17,24,59
2702.7,17,24,59
2712.6,17,23,60
2722.5,17,23,60
2732.4,17,21,62
2742.3,17,21,62
2752.2,17,21,62
2762.1,17,21,62
2772,17,21,62
2781.9,17,20,63
2791.8,17,20,63
2801.7,16,20,64
2811.6,16,20,64
2821.5,16,20,64
2831.4,16,20,64
2841.3,16,20,64
2851.2,16,19,65
2861.1,16,19,65
2871,16,19,65
2880.9,16,19,65
2890.8,15,20,65
2900.7,15,19,66
2910.6,15,18,67
2920.5,15,18,67
2930.4,15,18,67
2940.3,15,18,67
2950.2,15,18,67
2960.1,15,17,68
2970,15,17,68
2979.9,15,17,68
2989.8,15,17,68
2999.7,15,17,68
3009.6,15,15,70
3019.5,15,15,70
3029.4,15,15,70
3039.3,15,15,70
3049.2,15,15,70
3059.1,15,14,71
3069,15,14,71
3078.9,15,13,72
3088.8,15,13,72
3098.7,14,14,72
3108.6,14,13,73
3118.5,14,13,73
3128.4,14,13,73
3138.3,14,13,73
3148.2,14,13,73
3158.1,14,13,73
3168,14,13,73
3177.9,14,13,73
3187.8,14,13,73
3197.7,14,13,73
3207.6,13,14,73
3217.5,13,14,73
3227.4,13,14,73
3237.3,13,14,73
3247.2,13,14,73
3257.1,13,13,74
3267,13,13,74
3276.9,13,13,74
3286.8,13,13,74
3296.7,13,12,75
3306.6,13,12,75
3316.5,13,12,75
3326.4,12,13,75
3336.3,12,12,76
3346.2,12,12,76
3356.1,12,12,76
3366,12,12,76
3375.9,12,12,76
3385.8,12,12,76
3395.7,12,12,76
3405.6,12,12,76
3415.5,12,12,76
3425.4,12,12,76
3435.3,12,12,76
3445.2,12,12,76
3455.1,12,12,76
3465,12,11,77
3474.9,12,11,77
3484.8,12,10,78
3494.7,12,10,78
3504.6,12,10,78
3514.5,12,10,78
3524.4,12,10,78
3534.3,12,10,78
3544.2,12,10,78
3554.1,12,10,78
3564,12,10,78
3573.9,12,9,79
3583.8,12,9,79
3593.7,12,9,79
3603.6,12,9,79
3613.5,12,9,79
3623.4,12,9,79
3633.3,12,9,79
3643.2,12,9,79
3653.1,12,9,79
3663,12,8,80
3672.9,12,8,80
3682.8,12,8,80
3692.7,12,8,80
3702.6,12,8,80
3712.5,11,9,80
3722.4,11,9,80
3732.3,10,10,80
3742.2,10,10,80
3752.1,10,10,80
3762,10,10,80
3771.9,10,10,80
3781.8,10,10,80
3791.7,10,10,80
3801.6,10,10,80
3811.5,10,10,80
3821.4,10,10,80
3831.3,10,10,80
3841.2,10,10,80
3851.1,10,10,80
3861,10,10,80
3870.9,10,10,80
3880.8,10,10,80
3890.7,10,9,81
3900.6,10,9,81
3910.5,10,9,81
3920.4,10,9,81
3930.3,10,9,81
3940.2,10,9,81
3950.1,10,9,81
3960,10,9,81
3969.9,10,9,81
3979.8,10,8,82
3989.7,10,8,82
3999.6,10,8,82
4009.5,10,8,82
4019.4,10,8,82
