time,state2Mean,state2lower,state2upper
0,10,10,10
0.1,10,10,10
0.2,10,10,10
0.3,10,10,10
0.4,10,10,10
0.5,10,10,10
0.6,10,10,10
0.7,10,10,10
0.8,10,10,10
0.9,10,10,10
1,10,10,10
1.1,10,10,10
1.2,10,10,10
1.3,10,10,10
1.4,10,10,10
1.5,10,10,10
1.6,10,10,10
1.7,10,10,10
1.8,10,10,10
1.9,10,10,10
2,10,10,10
2.1,10,10,10
2.2,10,10,10
2.3,10,10,10
2.4,10,10,10
2.5,10,10,10
2.6,10,10,10
2.7,10,10,10
2.8,10,10,10
2.9,10,10,10
3,10,10,10
3.1,10,10,10
3.2,10,10,10
3.3,10,10,10
3.4,10,10,10
3.5,10,10,10
3.6,10,10,10
3.7,10,10,10
3.8,10,10,10
3.9,10,10,10
4,10,10,10
4.1,10,10,10
4.2,10,10,10
4.3,10,10,10
4.4,10,10,10
4.5,10,10,10
4.6,10,10,10
4.7,10,10,10
4.8,10,10,10
4.9,10,10,10
5,10,10,10
5.1,10,10,10
5.2,10,10,10
5.3,10,10,10
5.4,10,10,10
5.5,10,10,10
5.6,10,10,10
5.7,10,10,10
5.8,10,10,10
5.9,10,10,10
6,10,10,10
6.1,10,10,10
6.2,10,10,10
6.3,10,10,10
6.4,10,10,10
6.5,10,10,10
6.6,10,10,10
6.7,10,10,10
6.8,10,10,10
6.9,10,10,10
7,10,10,10
7.1,10,10,10
7.2,10,10,10
7.3,10,10,10
7.4,10,10,10
7.5,10,10,10
7.6,10,10,10
7.7,10,10,10
7.8,10,10,10
7.9,10,10,10
8,10,10,10
8.1,10,10,10
8.2,10,10,10
8.3,10,10,10
8.4,10,10,10
8.5,10,10,10
8.6,10,10,10
8.7,10,10,10
8.8,10,10,10
8.9,10,10,10
9,10,10,10
9.1,10,10,10
9.2,10,10,10
9.3,10,10,10
9.4,10,10,10
9.5,10,10,10
9.6,10,10,10
9.7,10,10,10
9.8,10,10,10
9.9,10,10,10
10,10,10,10
10.1,10,10,10
10.2,10,10,10
10.3,10,10,10
10.4,10,10,10
10.5,10,10,10
10.6,10,10,10
10.7,10,10,10
10.8,10,10,10
10.9,10,10,10
11,10,10,10
11.1,10,10,10
11.2,10,10,10
11.3,10,10,10
11.4,10,10,10
11.5,10,10,10
11.6,10,10,10
11.7,10,10,10
11.8,10,10,10
11.9,10,10,10
12,10,10,10
12.1,10,10,10
12.2,10,10,10
12.3,10,10,10
12.4,10,10,10
12.5,10,10,10
12.6,10,10,10
12.7,10,10,10
12.8,10,10,10
12.9,10,10,10
13,10,10,10
13.1,10,10,10
13.2,10,10,10
13.3,10,10,10
13.4,10,10,10
13.5,10,10,10
13.6,10,10,10
13.7,10,10,10
13.8,10,10,10
13.9,10,10,10
14,10,10,10
14.1,10,10,10
14.2,10,10,10
14.3,10,10,10
14.4,10,10,10
14.5,10,10,10
14.6,10,10,10
14.7,10,10,10
14.8,10,10,10
14.9,10,10,10
15,10,10,10
15.1,10,10,10
15.2,10,10,10
15.3,10,10,10
15.4,10,10,10
15.5,10,10,10
15.6,10,10,10
15.7,10,10,10
15.8,10,10,10
15.9,10,10,10
16,10,10,10
16.1,10,10,10
16.2,10,10,10
16.3,10,10,10
16.4,10,10,10
16.5,10,10,10
16.6,10,10,10
16.7,10,10,10
16.8,10,10,10
16.9,10,10,10
17,10,10,10
17.1,10,10,10
17.2,10,10,10
17.3,10,10,10
17.4,10,10,10
17.5,10,10,10
17.6,10,10,10
17.7,10,10,10
17.8,10,10,10
17.9,10,10,10
18,10,10,10
18.1,10,10,10
18.2,10,10,10
18.3,10,10,10
18.4,10,10,10
18.5,10,10,10
18.6,10,10,10
18.7,10,10,10
18.8,10,10,10
18.9,10,10,10
19,10,10,10
19.1,10,10,10
19.2,10,10,10
19.3,10,10,10
19.4,10,10,10
19.5,10,10,10
19.6,10,10,10
19.7,10,10,10
19.8,10,10,10
19.9,10,10,10
20,10,10,10
20.1,10,10,10
20.2,10,10,10
20.3,10,10,10
20.4,10,10,10
20.5,10,10,10
20.6,10,10,10
20.7,10,10,10
20.8,10,10,10
20.9,10,10,10
21,10,10,10
21.1,10,10,10
21.2,10,10,10
21.3,10,10,10
21.4,10,10,10
21.5,10,10,10
21.6,10,10,10
21.7,10,10,10
21.8,10,10,10
21.9,10,10,10
22,10,10,10
22.1,10,10,10
22.2,10,10,10
22.3,10,10,10
22.4,10,10,10
22.5,10,10,10
22.6,10,10,10
22.7,10,10,10
22.8,10,10,10
22.9,10,10,10
23,10,10,10
23.1,10,10,10
23.2,10,10,10
23.3,10,10,10
23.4,10,10,10
23.5,10,10,10
23.6,10,10,10
23.7,10,10,10
23.8,10,10,10
23.9,10,10,10
24,10,10,10
24.1,10,10,10
24.2,10,10,10
24.3,10,10,10
24.4,10,10,10
24.5,10,10,10
24.6,10,10,10
24.7,10,10,10
24.8,10,10,10
24.9,10,10,10
25,10,10,10
25.1,10,10,10
25.2,10,10,10
25.3,10,10,10
25.4,10,10,10
25.5,10,10,10
25.6,10,10,10
25.7,10,10,10
25.8,10,10,10
25.9,10,10,10
26,10,10,10
26.1,10,10,10
26.2,10,10,10
26.3,10,10,10
26.4,10,10,10
26.5,10,10,10
26.6,10,10,10
26.7,10,10,10
26.8,10,10,10
26.9,10,10,10
27,10,10,10
27.1,10,10,10
27.2,10,10,10
27.3,10,10,10
27.4,10,10,10
27.5,10,10,10
27.6,10,10,10
27.7,10,10,10
27.8,10,10,10
27.9,10,10,10
28,10,10,10
28.1,10,10,10
28.2,10,10,10
28.3,10,10,10
28.4,10,10,10
28.5,10,10,10
28.6,10,10,10
28.7,10,10,10
28.8,10,10,10
28.9,10,10,10
29,10,10,10
29.1,10,10,10
29.2,10,10,10
29.3,10,10,10
29.4,10,10,10
29.5,10,10,10
29.6,10,10,10
29.7,10,10,10
29.8,10,10,10
29.9,10,10,10
30,10,10,10
30.1,10,10,10
30.2,10,10,10
30.3,10,10,10
30.4,10,10,10
30.5,10,10,10
30.6,10,10,10
30.7,10,10,10
30.8,10,10,10
30.9,10,10,10
31,10,10,10
31.1,10,10,10
31.2,10,10,10
31.3,10,10,10
31.4,10,10,10
31.5,10,10,10
31.6,10,10,10
31.7,10,10,10
31.8,10,10,10
31.9,10,10,10
32,10,10,10
32.1,10,10,10
32.2,10,10,10
32.3,10,10,10
32.4,10,10,10
32.5,10,10,10
32.6,10,10,10
32.7,10,10,10
32.8,10,10,10
32.9,10,10,10
33,10,10,10
33.1,10,10,10
33.2,10,10,10
33.3,10,10,10
33.4,10,10,10
33.5,10,10,10
33.6,10,10,10
33.7,10,10,10
33.8,10,10,10
33.9,10,10,10
34,10,10,10
34.1,10,10,10
34.2,10,10,10
34.3,10,10,10
34.4,10,10,10
34.5,10,10,10
34.6,10,10,10
34.7,10,10,10
34.8,10,10,10
34.9,10,10,10
35,10,10,10
35.1,10,10,10
35.2,10,10,10
35.3,10,10,10
35.4,10,10,10
35.5,10,10,10
35.6,10,10,10
35.7,10,10,10
35.8,10,10,10
35.9,10,10,10
36,10,10,10
36.1,10,10,10
36.2,10,10,10
36.3,10,10,10
36.4,10,10,10
36.5,10,10,10
36.6,10,10,10
36.7,10,10,10
36.8,10,10,10
36.9,10,10,10
37,10,10,10
37.1,10,10,10
37.2,10,10,10
37.3,10,10,10
37.4,10,10,10
37.5,10,10,10
37.6,10,10,10
37.7,10,10,10
37.8,10,10,10
37.9,10,10,10
38,10,10,10
38.1,10,10,10
38.2,10,10,10
38.3,10,10,10
38.4,10,10,10
38.5,10,10,10
38.6,10,10,10
38.7,10,10,10
38.8,10,10,10
38.9,10,10,10
39,10,10,10
39.1,10,10,10
39.2,10,10,10
39.3,10,10,10
39.4,10,10,10
39.5,10,10,10
39.6,10,10,10
39.7,10,10,10
39.8,10,10,10
39.9,10,10,10
40,10,10,10
40.1,10,10,10
40.2,10,10,10
40.3,10,10,10
40.4,10,10,10
40.5,10,10,10
40.6,10,10,10
40.7,10,10,10
40.8,10,10,10
40.9,10,10,10
41,10,10,10
41.1,10,10,10
41.2,10,10,10
41.3,10,10,10
41.4,10,10,10
41.5,10,10,10
41.6,10,10,10
41.7,10,10,10
41.8,10,10,10
41.9,10,10,10
42,10,10,10
42.1,10,10,10
42.2,10,10,10
42.3,10,10,10
42.4,10,10,10
42.5,10,10,10
42.6,10,10,10
42.7,10,10,10
42.8,10,10,10
42.9,10,10,10
43,10,10,10
43.1,10,10,10
43.2,10,10,10
43.3,10,10,10
43.4,10,10,10
43.5,10,10,10
43.6,10,10,10
43.7,10,10,10
43.8,10,10,10
43.9,10,10,10
44,10,10,10
44.1,10,10,10
44.2,10,10,10
44.3,10,10,10
44.4,10,10,10
44.5,10,10,10
44.6,10,10,10
44.7,10,10,10
44.8,10,10,10
44.9,10,10,10
45,10,10,10
45.1,10,10,10
45.2,10,10,10
45.3,10,10,10
45.4,10,10,10
45.5,10,10,10
45.6,10,10,10
45.7,10,10,10
45.8,10,10,10
45.9,10,10,10
46,10,10,10
46.1,10,10,10
46.2,10,10,10
46.3,10,10,10
46.4,10,10,10
46.5,10,10,10
46.6,10,10,10
46.7,10,10,10
46.8,10,10,10
46.9,10,10,10
47,10,10,10
47.1,10,10,10
47.2,10,10,10
47.3,10,10,10
47.4,10,10,10
47.5,10,10,10
47.6,10,10,10
47.7,10,10,10
47.8,10,10,10
47.9,10,10,10
48,10,10,10
48.1,10,10,10
48.2,10,10,10
48.3,10,10,10
48.4,10,10,10
48.5,10,10,10
48.6,10,10,10
48.7,10,10,10
48.8,10,10,10
48.9,10,10,10
49,10,10,10
49.1,10,10,10
49.2,10,10,10
49.3,10,10,10
49.4,10,10,10
49.5,10,10,10
49.6,10,10,10
49.7,10,10,10
49.8,10,10,10
49.9,10,10,10
50,10,10,10
50.1,10,10,10
50.2,10,10,10
50.3,10,10,10
50.4,10,10,10
50.5,10,10,10
50.6,10,10,10
50.7,10,10,10
50.8,10,10,10
50.9,10,10,10
51,10,10,10
51.1,10,10,10
51.2,10,10,10
51.3,10,10,10
51.4,10,10,10
51.5,10,10,10
51.6,10,10,10
51.7,10,10,10
51.8,10,10,10
51.9,10,10,10
52,10,10,10
52.1,10,10,10
52.2,10,10,10
52.3,10,10,10
52.4,10,10,10
52.5,10,10,10
52.6,10,10,10
52.7,10,10,10
52.8,10,10,10
52.9,10,10,10
53,10,10,10
53.1,10,10,10
53.2,10,10,10
53.3,10,10,10
53.4,10,10,10
53.5,10,10,10
53.6,10,10,10
53.7,10,10,10
