time,detectable crops mean
0.0,0.0
1.0,0.01
2.0,0.02
3.0,0.03
4.0,0.03
5.0,0.03
6.0,0.03
7.0,0.04
8.0,0.05
9.0,0.07
10.0,0.08
11.0,0.09
12.0,0.09
13.0,0.1
14.0,0.1
15.0,0.12
16.0,0.12
17.0,0.12
18.0,0.12
19.0,0.13
20.0,0.13
21.0,0.14
22.0,0.14
23.0,0.15
24.0,0.16
25.0,0.17
26.0,0.2
27.0,0.2
28.0,0.2
29.0,0.23
30.0,0.24
31.0,0.25
32.0,0.25
33.0,0.27
34.0,0.27
35.0,0.27
36.0,0.28
37.0,0.28
38.0,0.29
39.0,0.31
40.0,0.31
41.0,0.31
42.0,0.31
43.0,0.32
44.0,0.32
45.0,0.33
46.0,0.34
47.0,0.35
48.0,0.35
49.0,0.36
50.0,0.38
51.0,0.38
52.0,0.39
53.0,0.4
54.0,0.4
55.0,0.41
56.0,0.41
57.0,0.42
58.0,0.42
59.0,0.42
60.0,0.42
61.0,0.42
62.0,0.42
63.0,0.42
64.0,0.42
65.0,0.43
66.0,0.43
67.0,0.44
68.0,0.46
69.0,0.46
70.0,0.46
71.0,0.46
72.0,0.47
73.0,0.48
74.0,0.51
75.0,0.51
76.0,0.52
77.0,0.52
78.0,0.52
79.0,0.54
80.0,0.54
81.0,0.55
82.0,0.55
83.0,0.56
84.0,0.56
85.0,0.58
86.0,0.59
87.0,0.59
88.0,0.59
89.0,0.59
90.0,0.59
91.0,0.59
92.0,0.6
93.0,0.62
94.0,0.62
95.0,0.63
96.0,0.63
97.0,0.63
98.0,0.64
99.0,0.66
100.0,0.66
101.0,0.67
102.0,0.68
103.0,0.68
104.0,0.69
105.0,0.7
106.0,0.7
107.0,0.7
108.0,0.7
109.0,0.7
110.0,0.7
111.0,0.7
112.0,0.7
113.0,0.71
114.0,0.71
115.0,0.72
116.0,0.72
117.0,0.74
118.0,0.74
119.0,0.75
120.0,0.75
121.0,0.77
122.0,0.78
123.0,0.79
124.0,0.8
125.0,0.8
126.0,0.81
127.0,0.82
128.0,0.82
129.0,0.82
130.0,0.84
131.0,0.85
132.0,0.86
133.0,0.87
134.0,0.87
135.0,0.87
136.0,0.87
137.0,0.88
138.0,0.89
139.0,0.91
140.0,0.92
141.0,0.92
142.0,0.92
143.0,0.94
144.0,0.95
145.0,0.95
146.0,0.95
147.0,0.97
148.0,0.97
149.0,0.98
150.0,0.99
151.0,1.01
152.0,1.03
153.0,1.04
154.0,1.04
155.0,1.04
156.0,1.05
157.0,1.05
158.0,1.05
159.0,1.05
160.0,1.06
161.0,1.06
162.0,1.06
163.0,1.06
164.0,1.06
165.0,1.09
166.0,1.09
167.0,1.12
168.0,1.14
169.0,1.16
170.0,1.16
171.0,1.16
172.0,1.16
173.0,1.17
174.0,1.17
175.0,1.18
176.0,1.18
177.0,1.18
178.0,1.18
179.0,1.18
180.0,1.18
181.0,1.18
182.0,1.18
183.0,1.19
184.0,1.22
185.0,1.22
186.0,1.22
187.0,1.22
188.0,1.22
189.0,1.23
190.0,1.25
191.0,1.25
192.0,1.26
193.0,1.26
194.0,1.26
195.0,1.28
196.0,1.3
197.0,1.3
198.0,1.3
