time,healthy crops mean
0.0,97.0
1.0,97.0
2.0,97.0
3.0,97.0
4.0,97.0
5.0,97.0
6.0,97.0
7.0,97.0
8.0,97.0
9.0,97.0
10.0,97.0
11.0,97.0
12.0,97.0
13.0,97.0
14.0,97.0
15.0,97.0
16.0,97.0
17.0,97.0
18.0,97.0
19.0,97.0
20.0,97.0
21.0,96.99
22.0,96.99
23.0,96.99
24.0,96.99
25.0,96.99
26.0,96.99
27.0,96.98
28.0,96.98
29.0,96.98
30.0,96.98
31.0,96.98
32.0,96.98
33.0,96.97
34.0,96.97
35.0,96.97
36.0,96.97
37.0,96.97
38.0,96.97
39.0,96.96
40.0,96.96
41.0,96.96
42.0,96.96
43.0,96.96
44.0,96.96
45.0,96.96
46.0,96.94
47.0,96.94
48.0,96.94
49.0,96.94
50.0,96.93
51.0,96.93
52.0,96.93
53.0,96.92
54.0,96.92
55.0,96.91
56.0,96.91
57.0,96.91
58.0,96.91
59.0,96.91
60.0,96.91
61.0,96.91
62.0,96.9
63.0,96.9
64.0,96.9
65.0,96.9
66.0,96.9
67.0,96.9
68.0,96.9
69.0,96.9
70.0,96.9
71.0,96.9
72.0,96.9
73.0,96.9
74.0,96.88
75.0,96.87
76.0,96.87
77.0,96.87
78.0,96.87
79.0,96.86
80.0,96.86
81.0,96.86
82.0,96.86
83.0,96.86
84.0,96.86
85.0,96.85
86.0,96.85
87.0,96.85
88.0,96.85
89.0,96.85
90.0,96.85
91.0,96.84
92.0,96.84
93.0,96.84
94.0,96.84
95.0,96.84
96.0,96.84
97.0,96.84
98.0,96.84
99.0,96.84
100.0,96.84
101.0,96.83
102.0,96.83
103.0,96.82
104.0,96.81
105.0,96.81
106.0,96.81
107.0,96.8
108.0,96.8
109.0,96.8
110.0,96.77
111.0,96.76
112.0,96.76
113.0,96.76
114.0,96.76
115.0,96.76
116.0,96.76
117.0,96.76
118.0,96.76
119.0,96.75
120.0,96.75
121.0,96.75
122.0,96.75
123.0,96.75
124.0,96.75
125.0,96.75
126.0,96.74
127.0,96.74
128.0,96.74
129.0,96.72
130.0,96.72
131.0,96.72
132.0,96.71
133.0,96.71
134.0,96.69
135.0,96.67
136.0,96.66
137.0,96.65
138.0,96.65
139.0,96.64
140.0,96.64
141.0,96.63
142.0,96.61
143.0,96.61
144.0,96.61
145.0,96.6
146.0,96.59
147.0,96.58
148.0,96.57
149.0,96.57
150.0,96.57
151.0,96.57
152.0,96.57
153.0,96.57
154.0,96.57
155.0,96.57
156.0,96.57
157.0,96.57
158.0,96.57
159.0,96.57
160.0,96.56
161.0,96.54
162.0,96.54
163.0,96.53
164.0,96.52
165.0,96.52
166.0,96.51
167.0,96.5
168.0,96.5
169.0,96.5
170.0,96.5
171.0,96.49
172.0,96.49
173.0,96.48
174.0,96.48
175.0,96.47
176.0,96.47
177.0,96.45
178.0,96.43
179.0,96.41
180.0,96.4
181.0,96.4
182.0,96.39
183.0,96.39
184.0,96.39
185.0,96.39
186.0,96.36
187.0,96.36
188.0,96.35
189.0,96.34
190.0,96.34
191.0,96.33
192.0,96.32
193.0,96.32
194.0,96.3
195.0,96.3
196.0,96.29
197.0,96.27
198.0,96.26
199.0,96.26
200.0,96.24
201.0,96.24
202.0,96.24
203.0,96.24
204.0,96.24
205.0,96.22
206.0,96.2
207.0,96.17
208.0,96.14
209.0,96.11
210.0,96.09
211.0,96.08
212.0,96.08
213.0,96.03
214.0,96.02
215.0,96.02
216.0,96.02
217.0,95.99
218.0,95.98
219.0,95.96
220.0,95.95
221.0,95.93
222.0,95.93
223.0,95.92
224.0,95.92
225.0,95.92
226.0,95.91
227.0,95.91
228.0,95.9
229.0,95.88
230.0,95.87
231.0,95.86
232.0,95.86
233.0,95.86
234.0,95.85
235.0,95.85
236.0,95.84
237.0,95.82
238.0,95.8
239.0,95.8
240.0,95.8
241.0,95.79
242.0,95.78
243.0,95.76
244.0,95.76
245.0,95.75
246.0,95.75
247.0,95.74
248.0,95.74
249.0,95.73
250.0,95.72
251.0,95.71
252.0,95.68
253.0,95.67
254.0,95.63
255.0,95.62
256.0,95.61
257.0,95.59
258.0,95.56
259.0,95.56
260.0,95.54
261.0,95.53
262.0,95.51
263.0,95.49
264.0,95.46
265.0,95.44
266.0,95.44
267.0,95.43
268.0,95.39
269.0,95.37
270.0,95.36
271.0,95.34
272.0,95.33
273.0,95.31
274.0,95.29
275.0,95.27
276.0,95.27
277.0,95.26
278.0,95.24
279.0,95.23
280.0,95.21
281.0,95.19
282.0,95.19
283.0,95.17
284.0,95.17
285.0,95.16
286.0,95.15
287.0,95.14
288.0,95.12
289.0,95.09
290.0,95.07
291.0,95.07
292.0,95.05
293.0,95.04
294.0,95.04
295.0,95.04
296.0,95.02
297.0,95.01
298.0,95.0
299.0,94.97
300.0,94.94
301.0,94.94
302.0,94.92
303.0,94.9
304.0,94.9
305.0,94.9
306.0,94.89
307.0,94.86
308.0,94.83
309.0,94.82
310.0,94.82
311.0,94.81
312.0,94.8
313.0,94.8
314.0,94.79
315.0,94.78
316.0,94.75
317.0,94.75
318.0,94.72
319.0,94.71
320.0,94.7
321.0,94.69
322.0,94.66
323.0,94.62
324.0,94.59
325.0,94.57
326.0,94.57
327.0,94.54
328.0,94.52
329.0,94.5
330.0,94.5
331.0,94.48
332.0,94.47
333.0,94.47
334.0,94.44
335.0,94.41
336.0,94.39
337.0,94.37
338.0,94.36
339.0,94.34
340.0,94.33
341.0,94.29
342.0,94.29
343.0,94.29
344.0,94.29
345.0,94.29
346.0,94.27
347.0,94.26
348.0,94.22
349.0,94.21
350.0,94.2
351.0,94.17
352.0,94.16
353.0,94.14
354.0,94.12
355.0,94.1
356.0,94.08
357.0,94.07
358.0,94.07
359.0,94.07
360.0,94.07
361.0,94.06
362.0,94.06
363.0,94.04
364.0,94.01
365.0,94.0
366.0,93.95
367.0,93.93
368.0,93.92
369.0,93.89
370.0,93.86
371.0,93.85
372.0,93.79
373.0,93.78
374.0,93.75
375.0,93.74
376.0,93.7
377.0,93.67
378.0,93.65
379.0,93.65
380.0,93.65
381.0,93.63
382.0,93.61
383.0,93.59
384.0,93.58
385.0,93.57
386.0,93.57
387.0,93.55
388.0,93.51
389.0,93.47
390.0,93.44
391.0,93.42
392.0,93.36
393.0,93.35
394.0,93.32
395.0,93.28
396.0,93.26
397.0,93.22
398.0,93.21
399.0,93.2
400.0,93.18
401.0,93.14
402.0,93.11
403.0,93.09
404.0,93.06
405.0,93.02
406.0,92.97
407.0,92.93
408.0,92.87
409.0,92.85
410.0,92.81
411.0,92.8
412.0,92.79
413.0,92.77
414.0,92.72
415.0,92.71
416.0,92.7
417.0,92.65
418.0,92.6
419.0,92.58
420.0,92.55
421.0,92.54
422.0,92.52
423.0,92.5
424.0,92.48
425.0,92.46
426.0,92.43
427.0,92.41
428.0,92.37
429.0,92.35
430.0,92.27
431.0,92.24
432.0,92.23
433.0,92.21
434.0,92.17
435.0,92.14
436.0,92.13
437.0,92.08
438.0,92.08
439.0,92.04
440.0,91.99
441.0,91.98
442.0,91.96
443.0,91.94
444.0,91.91
445.0,91.87
446.0,91.8
447.0,91.79
448.0,91.77
