time,healthy sentinels mean
0.0,100.0
1.0,100.0
2.0,100.0
3.0,100.0
4.0,100.0
5.0,100.0
6.0,99.99
7.0,99.99
8.0,99.99
9.0,99.99
10.0,99.99
11.0,99.99
12.0,99.99
13.0,99.99
14.0,99.99
15.0,99.99
16.0,99.99
17.0,99.99
18.0,99.99
19.0,99.99
20.0,99.99
21.0,99.99
22.0,99.99
23.0,99.99
24.0,99.99
25.0,99.99
26.0,99.98
27.0,99.98
28.0,99.98
29.0,99.98
30.0,99.98
31.0,99.98
32.0,99.98
33.0,99.98
34.0,99.98
35.0,99.98
36.0,99.98
37.0,99.98
38.0,99.98
39.0,99.98
40.0,99.98
41.0,99.98
42.0,99.97
43.0,99.97
44.0,99.96
45.0,99.96
46.0,99.96
47.0,99.95
48.0,99.95
49.0,99.95
50.0,99.95
51.0,99.95
52.0,99.95
53.0,99.95
54.0,99.95
55.0,99.95
56.0,99.95
57.0,99.95
58.0,99.95
59.0,99.95
60.0,99.94
61.0,99.94
62.0,99.94
63.0,99.94
64.0,99.94
65.0,99.94
66.0,99.94
67.0,99.93
68.0,99.92
69.0,99.92
70.0,99.92
71.0,99.91
72.0,99.91
73.0,99.91
74.0,99.91
75.0,99.91
76.0,99.91
77.0,99.91
78.0,99.91
79.0,99.89
80.0,99.89
81.0,99.89
82.0,99.89
83.0,99.89
84.0,99.89
85.0,99.89
86.0,99.89
87.0,99.89
88.0,99.89
89.0,99.89
90.0,99.89
91.0,99.89
92.0,99.89
93.0,99.89
94.0,99.89
95.0,99.89
96.0,99.89
97.0,99.88
98.0,99.88
99.0,99.88
100.0,99.88
101.0,99.88
102.0,99.87
103.0,99.87
104.0,99.87
105.0,99.86
106.0,99.86
107.0,99.85
108.0,99.85
109.0,99.85
110.0,99.85
111.0,99.84
112.0,99.83
113.0,99.83
114.0,99.82
115.0,99.82
116.0,99.81
117.0,99.81
118.0,99.81
119.0,99.81
120.0,99.8
121.0,99.8
122.0,99.8
123.0,99.79
124.0,99.79
125.0,99.79
126.0,99.79
127.0,99.79
128.0,99.79
129.0,99.79
130.0,99.78
131.0,99.78
132.0,99.78
133.0,99.78
134.0,99.78
135.0,99.77
136.0,99.77
137.0,99.75
138.0,99.75
139.0,99.75
140.0,99.75
141.0,99.74
142.0,99.72
143.0,99.67
144.0,99.67
145.0,99.66
146.0,99.66
147.0,99.66
148.0,99.65
149.0,99.65
150.0,99.64
151.0,99.64
152.0,99.63
153.0,99.63
154.0,99.62
155.0,99.61
156.0,99.6
157.0,99.6
158.0,99.6
159.0,99.6
160.0,99.6
161.0,99.6
162.0,99.59
163.0,99.59
164.0,99.59
165.0,99.57
166.0,99.57
167.0,99.57
168.0,99.56
169.0,99.56
170.0,99.54
171.0,99.53
172.0,99.52
173.0,99.51
174.0,99.51
175.0,99.5
176.0,99.49
177.0,99.47
178.0,99.46
179.0,99.45
180.0,99.45
181.0,99.45
182.0,99.44
183.0,99.43
184.0,99.43
185.0,99.41
186.0,99.4
187.0,99.4
188.0,99.4
189.0,99.4
190.0,99.39
191.0,99.38
192.0,99.37
193.0,99.36
194.0,99.36
195.0,99.36
196.0,99.36
197.0,99.34
198.0,99.33
199.0,99.33
200.0,99.33
201.0,99.32
202.0,99.3
203.0,99.29
204.0,99.29
205.0,99.27
206.0,99.26
207.0,99.25
208.0,99.24
209.0,99.24
210.0,99.22
211.0,99.21
