time,undetectable crops mean
0.0,3.0
1.0,2.98
2.0,2.97
3.0,2.97
4.0,2.98
5.0,2.95
6.0,2.95
7.0,2.94
8.0,2.93
9.0,2.93
10.0,2.93
11.0,2.92
12.0,2.92
13.0,2.9
14.0,2.9
15.0,2.88
16.0,2.88
17.0,2.88
18.0,2.87
19.0,2.86
20.0,2.85
21.0,2.84
22.0,2.83
23.0,2.84
24.0,2.83
25.0,2.83
26.0,2.83
27.0,2.81
28.0,2.81
29.0,2.8
30.0,2.8
31.0,2.8
32.0,2.79
33.0,2.79
34.0,2.76
35.0,2.75
36.0,2.75
37.0,2.74
38.0,2.74
39.0,2.75
40.0,2.76
41.0,2.77
42.0,2.76
43.0,2.76
44.0,2.76
45.0,2.76
46.0,2.76
47.0,2.76
48.0,2.76
49.0,2.76
50.0,2.75
51.0,2.75
52.0,2.74
53.0,2.74
54.0,2.76
55.0,2.75
56.0,2.75
57.0,2.75
58.0,2.74
59.0,2.74
60.0,2.72
61.0,2.71
62.0,2.72
63.0,2.72
64.0,2.72
65.0,2.72
66.0,2.71
67.0,2.71
68.0,2.72
69.0,2.72
70.0,2.71
71.0,2.7
72.0,2.72
73.0,2.71
74.0,2.71
75.0,2.71
76.0,2.7
77.0,2.7
78.0,2.71
79.0,2.69
80.0,2.69
81.0,2.69
82.0,2.7
83.0,2.7
84.0,2.67
85.0,2.66
86.0,2.66
87.0,2.66
88.0,2.65
89.0,2.65
90.0,2.65
91.0,2.64
92.0,2.64
93.0,2.64
94.0,2.64
95.0,2.64
96.0,2.64
97.0,2.64
98.0,2.63
99.0,2.64
100.0,2.65
101.0,2.65
102.0,2.65
103.0,2.65
104.0,2.64
105.0,2.64
106.0,2.65
107.0,2.66
108.0,2.66
109.0,2.66
110.0,2.64
111.0,2.62
112.0,2.63
113.0,2.63
114.0,2.63
115.0,2.62
116.0,2.62
117.0,2.64
118.0,2.64
119.0,2.64
120.0,2.64
121.0,2.65
122.0,2.63
123.0,2.63
124.0,2.66
125.0,2.65
126.0,2.64
127.0,2.64
128.0,2.63
129.0,2.63
130.0,2.61
131.0,2.61
132.0,2.62
133.0,2.63
134.0,2.63
135.0,2.64
136.0,2.63
137.0,2.63
138.0,2.63
139.0,2.63
140.0,2.64
141.0,2.64
142.0,2.64
143.0,2.64
144.0,2.63
145.0,2.63
146.0,2.63
147.0,2.67
148.0,2.7
149.0,2.7
150.0,2.7
151.0,2.7
152.0,2.68
153.0,2.7
154.0,2.7
155.0,2.7
156.0,2.69
157.0,2.68
158.0,2.67
159.0,2.67
160.0,2.68
161.0,2.69
162.0,2.71
163.0,2.7
164.0,2.69
165.0,2.69
166.0,2.7
167.0,2.69
168.0,2.7
169.0,2.7
170.0,2.7
171.0,2.68
172.0,2.68
173.0,2.69
174.0,2.69
175.0,2.7
176.0,2.69
177.0,2.68
178.0,2.7
179.0,2.71
180.0,2.72
181.0,2.73
182.0,2.73
183.0,2.74
184.0,2.75
185.0,2.75
186.0,2.75
187.0,2.75
188.0,2.76
189.0,2.78
190.0,2.79
191.0,2.79
192.0,2.8
193.0,2.81
194.0,2.79
195.0,2.79
196.0,2.78
197.0,2.79
198.0,2.78
199.0,2.78
200.0,2.79
201.0,2.77
202.0,2.76
203.0,2.77
204.0,2.77
205.0,2.76
206.0,2.72
207.0,2.72
208.0,2.72
209.0,2.72
210.0,2.71
211.0,2.67
212.0,2.66
213.0,2.67
214.0,2.66
215.0,2.65
216.0,2.65
217.0,2.65
218.0,2.66
219.0,2.67
220.0,2.67
221.0,2.67
222.0,2.68
223.0,2.68
224.0,2.68
225.0,2.7
226.0,2.72
227.0,2.73
228.0,2.73
229.0,2.74
230.0,2.74
231.0,2.75
232.0,2.76
233.0,2.76
234.0,2.77
235.0,2.78
236.0,2.78
237.0,2.79
238.0,2.8
239.0,2.8
240.0,2.82
241.0,2.83
242.0,2.83
243.0,2.83
244.0,2.83
245.0,2.84
246.0,2.83
247.0,2.81
248.0,2.81
249.0,2.84
250.0,2.85
251.0,2.86
252.0,2.86
253.0,2.86
254.0,2.86
255.0,2.85
256.0,2.87
257.0,2.88
258.0,2.88
259.0,2.88
260.0,2.89
261.0,2.94
262.0,2.97
263.0,2.98
264.0,2.97
265.0,2.97
266.0,2.97
267.0,3.0
268.0,3.01
269.0,3.0
270.0,3.02
271.0,3.01
272.0,3.0
273.0,3.03
274.0,3.01
275.0,3.01
276.0,3.01
277.0,3.0
278.0,3.02
279.0,3.03
280.0,3.05
281.0,3.04
282.0,3.03
283.0,3.04
284.0,3.04
285.0,3.04
286.0,3.04
287.0,3.04
288.0,3.05
289.0,3.04
290.0,3.05
291.0,3.05
292.0,3.07
293.0,3.07
294.0,3.11
295.0,3.13
296.0,3.13
297.0,3.14
298.0,3.13
299.0,3.13
300.0,3.11
301.0,3.11
302.0,3.11
303.0,3.12
304.0,3.12
305.0,3.11
