time,state3Mean,state3lower,state3upper
0,0,0,0
0.005,0.06,-0.177487,0.297487
0.01,0.11,-0.233366,0.453366
0.015,0.15,-0.234057,0.534057
0.02,0.23,-0.23594,0.69594
0.025,0.27,-0.23705,0.77705
0.03,0.35,-0.256218,0.956218
0.035,0.44,-0.351454,1.23145
0.04,0.49,-0.328474,1.30847
0.045,0.59,-0.235772,1.41577
0.05,0.63,-0.202526,1.46253
0.055,0.69,-0.16668,1.54668
0.06,0.72,-0.12947,1.56947
0.065,0.78,-0.0869487,1.64695
0.07,0.89,-0.0469632,1.82696
0.075,1.02,0.0302526,2.00975
0.08,1.09,0.0890505,2.09095
0.085,1.13,0.0940946,2.16591
0.09,1.22,0.184819,2.25518
0.095,1.27,0.203651,2.33635
0.1,1.34,0.289096,2.3909
0.105,1.41,0.332085,2.48791
0.11,1.51,0.383102,2.6369
0.115,1.61,0.462002,2.758
0.12,1.69,0.517865,2.86213
0.125,1.81,0.571493,3.04851
0.13,1.88,0.612877,3.14712
0.135,1.94,0.676513,3.20349
0.14,2.01,0.710038,3.30996
0.145,2.1,0.777124,3.42288
0.15,2.18,0.798841,3.56116
0.155,2.29,0.916719,3.66328
0.16,2.39,0.948508,3.83149
0.165,2.49,0.983381,3.99662
0.17,2.62,1.01513,4.22487
0.175,2.75,1.08642,4.41358
0.18,2.85,1.16255,4.53745
0.185,2.95,1.26255,4.63745
0.19,3.07,1.38326,4.75674
0.195,3.16,1.46459,4.85541
0.2,3.3,1.57663,5.02337
0.205,3.41,1.6948,5.1252
0.21,3.47,1.75854,5.18146
0.215,3.56,1.83188,5.28812
0.22,3.76,1.94826,5.57174
0.225,3.91,2.03866,5.78134
0.23,4,2.13452,5.86548
0.235,4.21,2.34294,6.07706
0.24,4.34,2.44147,6.23853
0.245,4.46,2.49827,6.42173
0.25,4.58,2.56416,6.59584
0.255,4.73,2.6911,6.7689
0.26,4.83,2.69433,6.96567
0.265,4.95,2.77112,7.12888
0.27,5.09,2.92623,7.25377
0.275,5.19,3.05133,7.32867
0.28,5.3,3.09773,7.50227
0.285,5.5,3.28867,7.71133
0.29,5.67,3.42031,7.91969
0.295,5.83,3.59369,8.06631
0.3,5.97,3.75435,8.18565
0.305,6.13,3.86437,8.39563
0.31,6.3,3.96976,8.63024
0.315,6.48,4.08217,8.87783
0.32,6.66,4.28,9.04
0.325,6.83,4.39667,9.26333
0.33,7,4.51807,9.48193
0.335,7.16,4.73628,9.58372
0.34,7.26,4.82435,9.69565
0.345,7.45,4.93058,9.96942
0.35,7.65,5.04856,10.2514
0.355,7.81,5.22661,10.3934
0.36,8,5.38849,10.6115
0.365,8.18,5.56703,10.793
0.37,8.41,5.76389,11.0561
0.375,8.66,6.05148,11.2685
0.38,8.83,6.24909,11.4109
0.385,9.03,6.38253,11.6775
0.39,9.25,6.58401,11.916
0.395,9.48,6.82113,12.1389
0.4,9.64,6.95106,12.3289
0.405,9.87,7.10358,12.6364
0.41,10.04,7.21539,12.8646
0.415,10.23,7.33222,13.1278
0.42,10.44,7.48595,13.394
0.425,10.71,7.61712,13.8029
0.43,10.94,7.76882,14.1112
0.435,11.17,7.97295,14.367
0.44,11.5,8.32667,14.6733
0.445,11.76,8.4733,15.0467
0.45,12.06,8.58201,15.538
0.455,12.3,8.66269,15.9373
0.46,12.55,8.87474,16.2253
0.465,12.8,9.06905,16.531
0.47,13.01,9.24305,16.7769
0.475,13.29,9.46562,17.1144
0.48,13.57,9.6912,17.4488
0.485,13.78,9.90036,17.6596
0.49,14.05,10.1375,17.9625
0.495,14.28,10.245,18.315
0.5,14.57,10.5221,18.6179
0.505,14.82,10.7768,18.8632
0.51,15.04,10.961,19.119
0.515,15.36,11.2673,19.4527
0.52,15.68,11.6183,19.7417
0.525,15.92,11.8196,20.0204
0.53,16.12,12.0132,20.2268
0.535,16.37,12.3088,20.4312
0.54,16.63,12.5199,20.7401
0.545,16.87,12.7235,21.0165
0.55,17.12,13.0035,21.2365
0.555,17.32,13.1778,21.4622
0.56,17.63,13.5077,21.7523
0.565,17.94,13.7763,22.1037
0.57,18.2,14.0383,22.3617
0.575,18.56,14.3237,22.7963
0.58,18.78,14.5691,22.9909
0.585,18.97,14.8409,23.0991
0.59,19.25,15.0922,23.4078
0.595,19.45,15.2634,23.6366
0.6,19.75,15.5088,23.9912
0.605,20.06,15.8272,24.2928
0.61,20.42,16.1022,24.7378
0.615,20.64,16.2434,25.0366
0.62,20.9,16.5034,25.2966
0.625,21.17,16.7427,25.5973
0.63,21.38,17.0469,25.7131
0.635,21.56,17.2534,25.8666
0.64,21.81,17.5634,26.0566
0.645,22.19,17.9693,26.4107
0.65,22.53,18.2957,26.7643
0.655,22.85,18.5689,27.1311
0.66,23.12,18.7742,27.4658
0.665,23.38,19.0193,27.7407
0.67,23.62,19.2754,27.9646
0.675,23.94,19.4839,28.3961
0.68,24.23,19.7426,28.7174
0.685,24.55,20.0837,29.0163
0.69,24.87,20.4121,29.3279
0.695,25.24,20.6441,29.8359
0.7,25.58,20.9428,30.2172
0.705,25.95,21.3644,30.5356
0.71,26.16,21.5432,30.7768
0.715,26.49,21.8007,31.1793
0.72,26.84,22.0803,31.5997
0.725,27.01,22.2973,31.7227
0.73,27.33,22.5717,32.0883
0.735,27.57,22.7508,32.3892
0.74,27.86,23.0102,32.7098
0.745,28.2,23.2888,33.1112
0.75,28.46,23.4432,33.4768
0.755,28.74,23.687,33.793
0.76,29.03,23.9517,34.1083
0.765,29.31,24.2234,34.3966
0.77,29.59,24.5758,34.6042
0.775,29.96,24.8435,35.0765
0.78,30.17,25.0415,35.2985
0.785,30.46,25.3877,35.5323
0.79,30.75,25.6601,35.8399
0.795,30.99,25.9116,36.0684
0.8,31.24,26.1762,36.3038
0.805,31.5,26.499,36.501
0.81,31.77,26.7285,36.8115
0.815,32,26.9187,37.0813
0.82,32.25,27.2313,37.2687
0.825,32.48,27.3429,37.6171
0.83,32.8,27.6775,37.9225
0.835,33.1,27.9922,38.2078
0.84,33.37,28.2015,38.5385
0.845,33.73,28.5922,38.8678
0.85,34.15,29.0522,39.2478
0.855,34.43,29.3129,39.5471
0.86,34.64,29.5419,39.7381
0.865,34.98,29.883,40.077
0.87,35.24,30.1075,40.3725
0.875,35.45,30.3719,40.5281
0.88,35.64,30.5419,40.7381
0.885,35.94,30.8081,41.0719
0.89,36.3,31.0894,41.5106
0.895,36.68,31.4553,41.9047
0.9,37.03,31.9301,42.1299
0.905,37.24,32.1486,42.3314
0.91,37.43,32.3226,42.5374
0.915,37.75,32.584,42.916
0.92,38.08,32.9018,43.2582
0.925,38.34,33.1089,43.5711
0.93,38.57,33.3178,43.8222
0.935,38.82,33.5924,44.0476
0.94,39.05,33.7862,44.3138
0.945,39.37,33.9836,44.7564
0.95,39.72,34.3496,45.0904
0.955,39.94,34.5385,45.3415
0.96,40.21,34.9198,45.5002
0.965,40.5,35.2132,45.7868
0.97,40.78,35.4179,46.1421
0.975,41.11,35.7436,46.4764
0.98,41.37,35.9818,46.7582
0.985,41.63,36.2232,47.0368
0.99,41.81,36.4198,47.2002
0.995,42.11,36.5929,47.6271
1,42.35,36.8757,47.8243
1.005,42.61,37.1513,48.0687
1.01,42.85,37.3502,48.3498
1.015,43.23,37.6931,48.7669
1.02,43.48,37.9873,48.9727
1.025,43.73,38.2934,49.1666
1.03,43.95,38.463,49.437
1.035,44.18,38.7185,49.6415
1.04,44.45,38.9466,49.9534
1.045,44.7,39.1529,50.2471
1.05,44.88,39.3387,50.4213
1.055,45.1,39.5224,50.6776
1.06,45.41,39.73,51.09
1.065,45.59,39.9277,51.2523
1.07,45.85,40.2333,51.4667
1.075,46.06,40.4568,51.6632
1.08,46.29,40.8195,51.7605
1.085,46.47,40.9846,51.9554
1.09,46.68,41.116,52.244
1.095,46.97,41.423,52.517
1.1,47.17,41.7055,52.6345
1.105,47.36,41.9258,52.7942
1.11,47.73,42.3044,53.1556
1.115,47.9,42.4695,53.3305
1.12,48.13,42.7362,53.5238
1.125,48.31,42.9496,53.6704
1.13,48.56,43.1299,53.9901
1.135,48.83,43.3381,54.3219
1.14,49.13,43.5521,54.7079
1.145,49.41,43.8152,55.0048
1.15,49.63,44.0575,55.2025
1.155,49.87,44.3697,55.3703
1.16,50.06,44.5395,55.5805
1.165,50.3,44.8383,55.7617
1.17,50.5,45.1046,55.8954
1.175,50.67,45.2606,56.0794
1.18,50.94,45.5887,56.2913
1.185,51.15,45.8635,56.4365
1.19,51.32,46.0231,56.6169
1.195,51.51,46.2176,56.8024
1.2,51.75,46.5052,56.9948
1.205,52,46.7369,57.2631
1.21,52.18,46.9697,57.3903
1.215,52.37,47.119,57.621
1.22,52.61,47.349,57.871
1.225,52.97,47.7614,58.1786
1.23,53.23,48.0188,58.4412
1.235,53.47,48.3174,58.6226
1.24,53.7,48.557,58.843
1.245,53.95,48.8053,59.0947
1.25,54.21,49.1163,59.3037
1.255,54.44,49.3659,59.5141
1.26,54.63,49.5434,59.7166
1.265,54.81,49.6473,59.9727
1.27,55.01,49.9277,60.0923
1.275,55.15,50.0738,60.2262
1.28,55.31,50.2135,60.4065
1.285,55.51,50.3846,60.6354
1.29,55.76,50.6922,60.8278
1.295,55.96,50.871,61.049
1.3,56.11,51.0112,61.2088
1.305,56.3,51.2256,61.3744
1.31,56.45,51.4114,61.4886
1.315,56.63,51.6387,61.6213
1.32,56.81,51.8046,61.8154
1.325,57.09,52.0401,62.1399
1.33,57.31,52.2807,62.3393
1.335,57.51,52.4514,62.5686
1.34,57.76,52.6804,62.8396
1.345,58.02,52.9112,63.1288
1.35,58.22,53.0131,63.4269
1.355,58.44,53.1992,63.6808
1.36,58.68,53.4077,63.9523
1.365,58.85,53.5051,64.1949
1.37,59.14,53.8409,64.4391
1.375,59.34,54.0198,64.6602
1.38,59.54,54.2138,64.8662
1.385,59.7,54.4417,64.9583
1.39,59.84,54.606,65.074
1.395,60.03,54.7509,65.3091
1.4,60.2,54.9123,65.4877
1.405,60.39,55.1195,65.6605
1.41,60.61,55.3093,65.9107
1.415,60.74,55.5177,65.9623
1.42,60.93,55.7507,66.1093
1.425,61.07,55.8446,66.2954
1.43,61.26,56.0646,66.4554
1.435,61.44,56.3541,66.5259
1.44,61.61,56.5525,66.6675
1.445,61.84,56.7533,66.9267
1.45,62.04,56.8402,67.2398
1.455,62.2,56.9789,67.4211
1.46,62.39,57.1519,67.6281
1.465,62.56,57.2302,67.8898
1.47,62.75,57.5628,67.9372
1.475,62.88,57.7026,68.0574
1.48,63.05,57.9112,68.1888
1.485,63.26,58.0877,68.4323
1.49,63.43,58.2507,68.6093
1.495,63.68,58.5402,68.8198
1.5,63.91,58.868,68.952
1.505,64.19,59.1966,69.1834
1.51,64.36,59.3931,69.3269
1.515,64.59,59.5978,69.5822
1.52,64.72,59.7419,69.6981
1.525,64.83,59.8479,69.8121
1.53,64.93,59.9055,69.9545
1.535,65.09,60.1259,70.0541
