time,state1Mean,state1lower,state1upper
0,90,90,90
0.005,89.78,89.2988,90.2612
0.01,89.39,88.5789,90.2011
0.015,89.19,88.2445,90.1355
0.02,88.9,87.7295,90.0705
0.025,88.6,87.2509,89.9491
0.03,88.34,86.8352,89.8448
0.035,87.91,86.2301,89.5899
0.04,87.7,85.9365,89.4635
0.045,87.24,85.3106,89.1694
0.05,86.93,84.8842,88.9758
0.055,86.64,84.4605,88.8195
0.06,86.2,83.8892,88.5108
0.065,85.83,83.3318,88.3282
0.07,85.58,83.0455,88.1145
0.075,85.09,82.3878,87.7922
0.08,84.8,82.0359,87.5641
0.085,84.37,81.5534,87.1866
0.09,83.91,80.9197,86.9003
0.095,83.54,80.421,86.659
0.1,83.14,79.8233,86.4567
0.105,82.73,79.3216,86.1384
0.11,82.21,78.5705,85.8495
0.115,81.66,77.9204,85.3996
0.12,81.02,77.1756,84.8644
0.125,80.62,76.6081,84.6319
0.13,80.17,76.0033,84.3367
0.135,79.65,75.2674,84.0326
0.14,79.19,74.7051,83.6749
0.145,78.69,73.9283,83.4517
0.15,78.29,73.3619,83.2181
0.155,77.78,72.7549,82.8051
0.16,77.19,71.8972,82.4828
0.165,76.64,71.0929,82.1871
0.17,76.14,70.3538,81.9262
0.175,75.72,69.7667,81.6733
0.18,75.11,69.0902,81.1298
0.185,74.6,68.371,80.829
0.19,74.12,67.6589,80.5811
0.195,73.42,66.7309,80.1091
0.2,72.8,65.9007,79.6993
0.205,72.08,64.9657,79.1943
0.21,71.66,64.4071,78.9129
0.215,71.03,63.647,78.413
0.22,70.46,62.9415,77.9785
0.225,69.83,62.1906,77.4694
0.23,69.29,61.589,76.991
0.235,68.65,60.7895,76.5105
0.24,68,59.9229,76.0771
0.245,67.36,59.1362,75.5838
0.25,66.61,58.3204,74.8996
0.255,66.09,57.6117,74.5683
0.26,65.46,56.919,74.001
0.265,64.87,56.2925,73.4475
0.27,64.27,55.6527,72.8873
0.275,63.55,54.7849,72.3151
0.28,62.88,53.9354,71.8246
0.285,62.2,53.1623,71.2377
0.29,61.43,52.2831,70.5769
0.295,60.8,51.5826,70.0174
0.3,60.03,50.8252,69.2348
0.305,59.44,50.3611,68.5189
0.31,58.92,49.8286,68.0114
0.315,58.32,49.0822,67.5578
0.32,57.51,48.2802,66.7398
0.325,56.76,47.4421,66.0779
0.33,56.03,46.5311,65.5289
0.335,55.43,45.8089,65.0511
0.34,54.9,45.2341,64.5659
0.345,54.27,44.5841,63.9559
0.35,53.52,43.7707,63.2693
0.355,52.8,43.0204,62.5796
0.36,52.08,42.2783,61.8817
0.365,51.3,41.3466,61.2534
0.37,50.61,40.6733,60.5467
0.375,49.82,39.6658,59.9742
0.38,49.1,38.8243,59.3757
0.385,48.41,38.0649,58.7551
0.39,47.63,37.3541,57.9059
0.395,46.9,36.599,57.201
0.4,46.3,35.9961,56.6039
0.405,45.66,35.1469,56.1731
0.41,45.04,34.3527,55.7273
0.415,44.32,33.6215,55.0185
0.42,43.71,32.9822,54.4378
0.425,42.93,32.3053,53.5547
0.43,42.2,31.6302,52.7698
0.435,41.47,30.743,52.197
0.44,40.8,30.1248,51.4752
0.445,40.13,29.535,50.725
0.45,39.4,28.8501,49.9499
0.455,38.72,28.0541,49.3859
0.46,38,27.2492,48.7508
0.465,37.34,26.6197,48.0603
0.47,36.61,25.98,47.24
0.475,36.12,25.6326,46.6074
0.48,35.49,25.0368,45.9432
0.485,34.93,24.4827,45.3773
0.49,34.3,23.9014,44.6986
0.495,33.66,23.3544,43.9656
0.5,33.13,22.8522,43.4078
0.505,32.47,22.379,42.561
0.51,32.01,21.9467,42.0733
0.515,31.49,21.5035,41.4765
0.52,30.88,21.0238,40.7362
0.525,30.46,20.6056,40.3144
0.53,29.85,20.1038,39.5962
0.535,29.35,19.6966,39.0034
0.54,28.81,19.0769,38.5431
0.545,28.22,18.5592,37.8808
0.55,27.74,18.3255,37.1545
0.555,27.17,17.8587,36.4813
0.56,26.74,17.4733,36.0067
0.565,26.18,17.0155,35.3445
0.57,25.64,16.6639,34.6161
0.575,25.24,16.2855,34.1945
0.58,24.82,15.8675,33.7725
0.585,24.37,15.5352,33.2048
0.59,23.93,15.1719,32.6881
0.595,23.42,14.7607,32.0793
0.6,22.91,14.2416,31.5784
0.605,22.54,14.0272,31.0528
0.61,22.13,13.6534,30.6066
0.615,21.71,13.2527,30.1673
0.62,21.2,13.0134,29.3866
0.625,20.83,12.6887,28.9713
0.63,20.38,12.4154,28.3446
0.635,20.01,12.0986,27.9214
0.64,19.64,11.7971,27.4829
0.645,19.28,11.5689,26.9911
0.65,18.95,11.2593,26.6407
0.655,18.59,11.0387,26.1413
0.66,18.26,10.9189,25.6011
0.665,17.94,10.6478,25.2322
0.67,17.62,10.4873,24.7527
0.675,17.22,10.1524,24.2876
0.68,16.84,9.77782,23.9022
0.685,16.57,9.58823,23.5518
0.69,16.24,9.37251,23.1075
0.695,15.91,9.11722,22.7028
0.7,15.63,8.8467,22.4133
0.705,15.24,8.51078,21.9692
0.71,14.94,8.31456,21.5654
0.715,14.73,8.1378,21.3222
0.72,14.41,7.99892,20.8211
0.725,14.16,7.80906,20.5109
0.73,13.79,7.57503,20.005
0.735,13.46,7.4643,19.4557
0.74,13.24,7.36613,19.1139
0.745,12.98,7.09786,18.8621
0.75,12.83,7.03335,18.6266
0.755,12.66,6.90288,18.4171
0.76,12.46,6.74962,18.1704
0.765,12.17,6.55385,17.7861
0.77,11.94,6.43397,17.446
0.775,11.69,6.30726,17.0727
0.78,11.52,6.23515,16.8048
0.785,11.31,6.01341,16.6066
0.79,11.06,5.84307,16.2769
0.795,10.87,5.67259,16.0674
0.8,10.65,5.51702,15.783
0.805,10.47,5.37597,15.564
0.81,10.3,5.29101,15.309
0.815,10.12,5.14953,15.0905
0.82,9.96,5.02053,14.8995
0.825,9.79,4.89042,14.6896
0.83,9.61,4.72964,14.4904
0.835,9.32,4.51192,14.1281
