Time,Susceptible,Exposed,Infected,Recovered
0,99,0,1,0
0.005,99,0,1,0
0.01,99,0,1,0
0.015,99,0,1,0
0.02,99,0,1,0
0.025,99,0,1,0
0.03,99,0,1,0
0.035,99,0,1,0
0.04,99,0,1,0
0.045,99,0,1,0
0.05,99,0,1,0
0.055,99,0,1,0
0.06,99,0,1,0
0.065,99,0,1,0
0.07,99,0,1,0
0.075,99,0,1,0
0.08,99,0,1,0
0.085,99,0,1,0
0.09,99,0,1,0
0.095,99,0,1,0
0.1,99,0,1,0
0.105,99,0,1,0
0.11,99,0,1,0
0.115,99,0,1,0
0.12,99,0,1,0
0.125,99,0,1,0
0.13,99,0,1,0
0.135,99,0,1,0
0.14,99,0,1,0
0.145,99,0,1,0
0.15,99,0,1,0
0.155,99,0,1,0
0.16,99,0,1,0
0.165,99,0,1,0
0.17,99,0,1,0
0.175,99,0,1,0
0.18,99,0,1,0
0.185,99,0,1,0
0.19,99,0,1,0
0.195,99,0,1,0
0.2,99,0,1,0
0.205,99,0,1,0
0.21,99,0,1,0
0.215,99,0,1,0
0.22,99,0,1,0
0.225,99,0,1,0
0.23,99,0,1,0
0.235,99,0,1,0
0.24,99,0,1,0
0.245,99,0,1,0
0.25,99,0,1,0
0.255,99,0,1,0
0.26,99,0,1,0
0.265,99,0,1,0
0.27,99,0,1,0
0.275,99,0,1,0
0.28,99,0,1,0
0.285,99,0,1,0
0.29,98,1,1,0
0.295,98,1,1,0
0.3,98,1,1,0
0.305,98,1,1,0
0.31,98,1,1,0
0.315,98,1,1,0
0.32,98,1,1,0
0.325,98,1,1,0
0.33,98,1,1,0
0.335,98,1,1,0
0.34,98,1,1,0
0.345,98,1,1,0
0.35,98,1,1,0
0.355,98,1,1,0
0.36,98,1,1,0
0.365,98,1,1,0
0.37,98,1,1,0
0.375,98,1,1,0
0.38,98,1,1,0
0.385,98,1,1,0
0.39,98,1,1,0
0.395,98,1,1,0
0.4,98,1,1,0
0.405,98,1,1,0
0.41,98,1,1,0
0.415,98,1,1,0
0.42,98,1,1,0
0.425,98,1,1,0
0.43,98,1,1,0
0.435,98,1,1,0
0.44,98,1,1,0
0.445,98,1,1,0
0.45,98,1,1,0
0.455,98,1,1,0
0.46,98,1,1,0
0.465,98,1,0,1
0.47,98,1,0,1
0.475,98,1,0,1
0.48,98,1,0,1
0.485,98,1,0,1
0.49,98,1,0,1
0.495,98,1,0,1
0.5,98,1,0,1
0.505,98,1,0,1
0.51,98,1,0,1
