Time,Susceptible,Infected
0,99,1
0.005,99,1
0.01,99,1
0.015,99,1
0.02,99,1
0.025,99,1
0.03,99,1
0.035,99,1
0.04,99,1
0.045,99,1
0.05,99,1
0.055,99,1
0.06,99,1
0.065,99,1
0.07,99,1
0.075,99,1
0.08,99,1
0.085,99,1
0.09,99,1
0.095,99,1
0.1,99,1
0.105,98,2
0.11,98,2
0.115,98,2
0.12,98,2
0.125,98,2
0.13,98,2
0.135,98,2
0.14,98,2
0.145,98,2
0.15,98,2
0.155,98,2
0.16,98,2
0.165,98,2
0.17,98,2
0.175,97,3
0.18,97,3
0.185,97,3
0.19,96,4
0.195,96,4
0.2,96,4
0.205,96,4
0.21,94,6
0.215,94,6
0.22,94,6
0.225,94,6
0.23,94,6
0.235,94,6
0.24,94,6
0.245,94,6
0.25,93,7
0.255,93,7
0.26,93,7
0.265,93,7
0.27,91,9
0.275,91,9
0.28,91,9
0.285,90,10
0.29,89,11
0.295,89,11
0.3,88,12
0.305,88,12
0.31,88,12
0.315,88,12
0.32,88,12
0.325,87,13
0.33,89,11
0.335,89,11
0.34,89,11
0.345,89,11
0.35,89,11
0.355,88,12
0.36,88,12
0.365,88,12
0.37,88,12
0.375,88,12
0.38,88,12
0.385,88,12
0.39,88,12
0.395,87,13
0.4,86,14
0.405,85,15
0.41,84,16
0.415,83,17
0.42,83,17
0.425,82,18
0.43,80,20
0.435,78,22
0.44,79,21
0.445,78,22
0.45,75,25
0.455,74,26
0.46,73,27
0.465,72,28
0.47,72,28
0.475,73,27
0.48,73,27
0.485,72,28
0.49,72,28
0.495,72,28
0.5,72,28
0.505,72,28
0.51,71,29
0.515,71,29
0.52,69,31
0.525,69,31
0.53,70,30
0.535,70,30
0.54,69,31
0.545,67,33
0.55,67,33
0.555,65,35
0.56,65,35
0.565,64,36
0.57,60,40
0.575,60,40
0.58,59,41
0.585,59,41
0.59,59,41
0.595,59,41
0.6,59,41
0.605,60,40
0.61,60,40
0.615,59,41
0.62,59,41
0.625,58,42
0.63,56,44
0.635,56,44
0.64,55,45
0.645,55,45
0.65,55,45
0.655,56,44
0.66,55,45
0.665,55,45
0.67,55,45
0.675,56,44
0.68,55,45
0.685,54,46
0.69,53,47
0.695,52,48
0.7,51,49
0.705,50,50
0.71,51,49
0.715,51,49
0.72,52,48
0.725,51,49
0.73,51,49
0.735,51,49
0.74,50,50
0.745,50,50
0.75,49,51
0.755,49,51
0.76,49,51
0.765,49,51
0.77,46,54
0.775,45,55
0.78,47,53
0.785,47,53
0.79,48,52
0.795,44,56
0.8,43,57
0.805,44,56
0.81,44,56
0.815,43,57
0.82,43,57
0.825,43,57
0.83,43,57
0.835,39,61
0.84,39,61
0.845,37,63
0.85,37,63
0.855,36,64
0.86,37,63
0.865,37,63
0.87,37,63
0.875,36,64
0.88,36,64
0.885,35,65
0.89,34,66
0.895,33,67
0.9,31,69
0.905,31,69
0.91,30,70
0.915,30,70
0.92,31,69
0.925,30,70
0.93,31,69
0.935,30,70
0.94,31,69
0.945,31,69
0.95,30,70
0.955,30,70
0.96,31,69
0.965,31,69
0.97,30,70
0.975,29,71
0.98,29,71
0.985,30,70
0.99,30,70
0.995,30,70
1,32,68
1.005,32,68
1.01,32,68
1.015,33,67
1.02,32,68
1.025,32,68
1.03,32,68
1.035,30,70
1.04,29,71
1.045,30,70
1.05,29,71
1.055,29,71
1.06,28,72
1.065,29,71
1.07,28,72
1.075,30,70
1.08,30,70
1.085,30,70
1.09,30,70
1.095,29,71
1.1,28,72
1.105,27,73
1.11,25,75
1.115,24,76
1.12,24,76
1.125,25,75
1.13,25,75
1.135,25,75
1.14,23,77
1.145,23,77
1.15,23,77
1.155,22,78
1.16,21,79
1.165,22,78
1.17,22,78
1.175,22,78
1.18,22,78
1.185,21,79
1.19,21,79
1.195,20,80
1.2,20,80
1.205,19,81
1.21,20,80
1.215,19,81
1.22,18,82
1.225,18,82
1.23,17,83
1.235,17,83
1.24,17,83
1.245,16,84
1.25,15,85
1.255,14,86
1.26,15,85
1.265,15,85
1.27,15,85
1.275,16,84
1.28,17,83
1.285,18,82
1.29,17,83
1.295,17,83
1.3,16,84
1.305,15,85
1.31,15,85
1.315,15,85
1.32,16,84
1.325,15,85
1.33,17,83
1.335,17,83
1.34,17,83
1.345,17,83
1.35,15,85
1.355,15,85
1.36,15,85
1.365,15,85
1.37,15,85
1.375,15,85
1.38,16,84
1.385,14,86
1.39,15,85
1.395,14,86
1.4,14,86
1.405,13,87
1.41,13,87
1.415,15,85
1.42,15,85
1.425,14,86
1.43,13,87
1.435,14,86
1.44,13,87
1.445,13,87
1.45,12,88
1.455,13,87
1.46,13,87
1.465,12,88
1.47,11,89
1.475,11,89
1.48,11,89
1.485,11,89
1.49,12,88
1.495,12,88
1.5,12,88
1.505,12,88
1.51,11,89
1.515,12,88
1.52,12,88
1.525,12,88
1.53,12,88
1.535,12,88
1.54,11,89
1.545,11,89
1.55,12,88
1.555,12,88
1.56,12,88
1.565,12,88
1.57,10,90
1.575,12,88
1.58,12,88
1.585,13,87
1.59,14,86
1.595,13,87
1.6,13,87
1.605,14,86
1.61,13,87
1.615,13,87
1.62,13,87
1.625,14,86
1.63,14,86
1.635,14,86
1.64,14,86
1.645,14,86
1.65,15,85
1.655,16,84
1.66,16,84
1.665,15,85
1.67,16,84
1.675,17,83
1.68,16,84
1.685,14,86
1.69,14,86
1.695,15,85
1.7,14,86
1.705,16,84
1.71,14,86
1.715,14,86
1.72,14,86
1.725,14,86
1.73,15,85
1.735,16,84
1.74,16,84
1.745,17,83
1.75,17,83
1.755,17,83
1.76,16,84
1.765,16,84
1.77,16,84
1.775,17,83
1.78,19,81
1.785,20,80
1.79,20,80
1.795,21,79
1.8,20,80
1.805,20,80
1.81,20,80
1.815,24,76
1.82,23,77
1.825,22,78
1.83,23,77
1.835,22,78
1.84,24,76
1.845,25,75
1.85,24,76
1.855,25,75
1.86,25,75
1.865,25,75
1.87,24,76
1.875,24,76
1.88,24,76
1.885,24,76
1.89,25,75
1.895,22,78
1.9,21,79
1.905,20,80
1.91,20,80
1.915,21,79
1.92,19,81
1.925,19,81
1.93,19,81
1.935,19,81
1.94,19,81
1.945,18,82
1.95,18,82
1.955,16,84
1.96,15,85
1.965,15,85
1.97,14,86
1.975,12,88
1.98,12,88
1.985,11,89
1.99,11,89
1.995,12,88
2,12,88
2.005,12,88
2.01,12,88
2.015,12,88
2.02,12,88
2.025,13,87
2.03,13,87
2.035,15,85
2.04,15,85
2.045,15,85
2.05,17,83
2.055,16,84
2.06,15,85
2.065,16,84
2.07,15,85
2.075,16,84
2.08,17,83
2.085,17,83
2.09,16,84
2.095,18,82
2.1,18,82
2.105,18,82
2.11,19,81
2.115,19,81
2.12,20,80
2.125,19,81
