# time, mean
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0.01
49,0.01
50,0.01
51,0.01
52,0.02
53,0.02
54,0.02
55,0.02
56,0.02
57,0.02
58,0.03
59,0.03
60,0.03
61,0.03
62,0.03
63,0.03
64,0.03
65,0.04
66,0.04
67,0.04
68,0.04
69,0.04
70,0.04
71,0.04
72,0.05
73,0.05
74,0.05
75,0.05
76,0.06
77,0.06
78,0.06
79,0.06
80,0.06
81,0.06
82,0.06
83,0.06
84,0.06
85,0.06
86,0.06
87,0.06
88,0.06
89,0.06
90,0.07
91,0.07
92,0.08
93,0.09
94,0.09
95,0.09
96,0.09
97,0.09
98,0.1
99,0.1
100,0.1
101,0.1
102,0.1
103,0.1
104,0.1
105,0.11
106,0.11
107,0.12
108,0.12
109,0.13
110,0.13
111,0.13
112,0.13
113,0.13
114,0.13
115,0.13
116,0.13
117,0.14
118,0.14
119,0.14
120,0.14
121,0.14
122,0.14
123,0.14
124,0.14
125,0.14
126,0.14
127,0.14
128,0.14
129,0.14
130,0.14
131,0.14
132,0.14
133,0.14
134,0.14
135,0.14
136,0.14
137,0.15
138,0.15
139,0.15
140,0.15
141,0.15
142,0.16
143,0.16
144,0.16
145,0.17
146,0.17
147,0.17
148,0.17
149,0.17
150,0.17
151,0.17
152,0.17
153,0.17
154,0.17
155,0.17
156,0.17
157,0.17
158,0.17
159,0.17
160,0.17
161,0.17
162,0.17
163,0.18
164,0.19
165,0.19
166,0.19
167,0.19
168,0.19
169,0.2
170,0.2
171,0.2
172,0.2
173,0.2
174,0.21
175,0.22
176,0.22
177,0.23
178,0.23
179,0.24
180,0.24
181,0.24
182,0.24
183,0.24
184,0.25
185,0.25
186,0.25
187,0.25
188,0.26
189,0.27
190,0.29
191,0.3
192,0.3
193,0.3
194,0.31
195,0.31
196,0.31
197,0.31
198,0.31
199,0.31
200,0.32
201,0.32
202,0.32
203,0.32
204,0.32
205,0.34
206,0.34
207,0.34
208,0.34
209,0.35
210,0.36
211,0.37
212,0.37
213,0.37
214,0.38
215,0.38
216,0.38
217,0.38
218,0.38
219,0.38
220,0.39
221,0.39
222,0.39
223,0.4
224,0.4
225,0.42
226,0.42
227,0.44
228,0.44
229,0.45
230,0.45
231,0.46
232,0.47
233,0.47
234,0.47
235,0.47
236,0.47
237,0.48
238,0.48
239,0.48
240,0.48
241,0.48
242,0.48
243,0.49
244,0.49
245,0.49
246,0.49
247,0.49
248,0.49
249,0.5
250,0.5
251,0.5
252,0.51
253,0.52
254,0.52
255,0.52
256,0.52
257,0.52
258,0.53
259,0.53
260,0.53
261,0.53
262,0.55
263,0.55
264,0.56
265,0.58
266,0.58
267,0.58
268,0.58
269,0.58
270,0.6
271,0.6
272,0.6
273,0.6
274,0.61
275,0.63
276,0.66
277,0.66
278,0.66
279,0.68
280,0.69
281,0.69
282,0.7
283,0.7
284,0.71
285,0.71
286,0.72
287,0.73
288,0.73
289,0.73
290,0.75
291,0.75
292,0.75
293,0.75
294,0.75
295,0.75
296,0.76
297,0.77
298,0.77
299,0.78
300,0.78
301,0.78
302,0.79
303,0.79
304,0.8
305,0.82
306,0.82
307,0.82
308,0.82
309,0.84
310,0.84
311,0.84
312,0.84
313,0.84
314,0.85
315,0.85
316,0.85
317,0.85
318,0.85
319,0.85
320,0.85
321,0.85
322,0.86
323,0.86
324,0.87
325,0.87
326,0.88
327,0.89
328,0.89
329,0.89
330,0.89
331,0.89
332,0.89
333,0.9
334,0.9
335,0.9
336,0.91
337,0.92
338,0.93
339,0.94
340,0.95
341,0.96
342,0.97
343,0.98
344,0.99
345,0.99
346,1
347,1
348,1
349,1
350,1
351,1
352,1.01
353,1.03
354,1.05
355,1.09
356,1.1
357,1.11
358,1.11
359,1.12
360,1.13
361,1.13
362,1.13
363,1.13
364,1.13
365,1.13
366,1.13
367,1.13
368,1.14
369,1.15
370,1.17
371,1.18
372,1.21
